EstType,Parameter,awood,bwood,abark,bbark,abranche,bbranche,afoliage,bfoliage,ess
SUREstim,bbranche,-0.00008048530305,0.00040007238046,-0.00012283155597,0.00119233038131,-0.00060666872165,0.00788909429404,-0.00054806194291,0.00563417713548,Basswood
SUREstim,afoliage,0.00001415905264,-0.0000667536963,0.00001481896928,-0.00013792969315,0.00004352488693,-0.00054806194291,0.00008970084815,-0.00089901431769,Basswood
SUREstim,bfoliage,-0.00013123692433,0.00061508665907,-0.00014230354645,0.00135251799166,-0.00043740781512,0.00563417713548,-0.00089901431769,0.00933307288399,Basswood
SUREstim,awood,0.00040734998899,-0.00080456906486,6.5246427279533E-6,-0.00017307232021,0.00001915958256,-0.00016842216514,0.00002709228024,-0.00022116845879,Beech
SUREstim,bwood,-0.00080456906486,0.00160957751368,-0.00001345091746,0.00037071482472,-0.00003959999028,0.00035901267926,-0.0000541397542,0.00045191573595,Beech
SUREstim,abark,6.5246427279533E-6,-0.00001345091746,9.6018590015409E-7,-0.00002442567788,-4.0820996142957E-7,2.4003908808905E-6,-1.36157671802E-6,9.7045090265697E-6,Beech
SUREstim,bbark,-0.00017307232021,0.00037071482472,-0.00002442567788,0.00065603883118,7.5436747295542E-6,-0.00003436136929,0.00003086468601,-0.00021616297921,Beech
SUREstim,abranche,0.00001915958256,-0.00003959999028,-4.0820996142957E-7,7.5436747295542E-6,0.00001769666384,-0.00014465407666,0.00001273055178,-0.00010352736612,Beech
SUREstim,bbranche,-0.00016842216514,0.00035901267926,2.4003908808905E-6,-0.00003436136929,-0.00014465407666,0.00124550907725,-0.00010448933094,0.00090485887096,Beech
SUREstim,afoliage,0.00002709228024,-0.0000541397542,-1.36157671802E-6,0.00003086468601,0.00001273055178,-0.00010448933094,0.00003018033906,-0.00023845947664,Beech
SUREstim,bfoliage,-0.00022116845879,0.00045191573595,9.7045090265697E-6,-0.00021616297921,-0.00010352736612,0.00090485887096,-0.00023845947664,0.00197948907882,Beech
