EstType,Parameter,Estimate,StdErr,tValue,Probt,DF,ess
SUREstim,awood,0.05279595931976,0.00463758129703,11.3843738660734,2.045861364793E-16,58.4444444444444,Alpine Fir
SUREstim,bwood,2.43088226898532,0.02675759174898,90.8483204239704,3.0807624757229E-64,58.4444444444444,Alpine Fir
SUREstim,abark,0.01076524222269,0.00262134497265,4.10676287744625,0.00012738059725,58.4444444444444,Alpine Fir
SUREstim,bbark,2.38760030154234,0.0739490701154,32.2870902611231,9.194150324175E-39,58.4444444444444,Alpine Fir
SUREstim,abranche,0.01213891403989,0.00329173881631,3.6876905238464,0.00050043458459,58.4444444444444,Alpine Fir
SUREstim,bbranche,2.35186571160236,0.08447825437258,27.8398947642726,2.9736386768845E-35,58.4444444444444,Alpine Fir
SUREstim,afoliage,0.02505828089004,0.0085827759889,2.91960094524717,0.00498319177242,58.4444444444444,Alpine Fir
SUREstim,bfoliage,2.03885707425574,0.10701224535432,19.0525585880851,1.2151337805805E-26,58.4444444444444,Alpine Fir
SUREstim,awood,0.05342139127462,0.00166423475531,32.0996729000289,3.1874612315094E-135,637.444444444444,Balsam Fir
SUREstim,bwood,2.40299161238911,0.01031367270712,232.990873438247,0,637.444444444444,Balsam Fir
SUREstim,abark,0.01147221006165,0.00042698080851,26.8682100764291,6.8324379415029E-107,637.444444444444,Balsam Fir
SUREstim,bbark,2.3484357794183,0.01270321585044,184.869391110547,0,637.444444444444,Balsam Fir
SUREstim,abranche,0.00696084130869,0.00073144380405,9.5165770358796,3.6282327818148E-20,637.444444444444,Balsam Fir
SUREstim,bbranche,2.54056245998398,0.03473846891083,73.1339791199506,0,637.444444444444,Balsam Fir
SUREstim,afoliage,0.08399387235104,0.00459239856178,18.2897610521157,2.2162611181432E-60,637.444444444444,Balsam Fir
SUREstim,bfoliage,1.66954685218847,0.01991165271712,83.8477285590811,0,637.444444444444,Balsam Fir
SUREstim,awood,0.05096266915418,0.00326296898482,15.6184963421789,9.5932597871177E-37,205.444444444444,Balsam Poplar
SUREstim,bwood,2.45286273928331,0.02054604839811,119.383673772954,1.9676163529945E-191,205.444444444444,Balsam Poplar
SUREstim,abark,0.02968315204145,0.00345724069083,8.5857927451146,2.2614320624111E-15,205.444444444444,Balsam Poplar
SUREstim,bbark,2.11305184968474,0.03745029065595,56.4228424579329,7.7172870300224E-127,205.444444444444,Balsam Poplar
SUREstim,abranche,0.01199654073929,0.00136695491246,8.77610565634988,6.6531920404509E-16,205.444444444444,Balsam Poplar
SUREstim,bbranche,2.41654061811237,0.03763989723202,64.201573219403,1.0074152662728E-137,205.444444444444,Balsam Poplar
SUREstim,afoliage,0.02758601098714,0.00180060826183,15.3203845455302,8.1251722814574E-36,205.444444444444,Balsam Poplar
SUREstim,bfoliage,1.62146970913548,0.0240449835886,67.4348436612657,6.6935846051473E-142,205.444444444444,Balsam Poplar
SUREstim,awood,0.05624283074479,0.00448369145681,12.5438673214885,2.1587844617979E-20,78.4444444444444,Basswood
SUREstim,bwood,2.41017240140538,0.02267018090696,106.314652331002,3.6049521217272E-86,78.4444444444444,Basswood
SUREstim,abark,0.03016095154302,0.00684658187842,4.40525682429326,0.00003326478743,78.4444444444444,Basswood
SUREstim,bbark,2.09756469891818,0.06522804724847,32.1574044816645,9.1618470340702E-47,78.4444444444444,Basswood
SUREstim,abranche,0.02302816439053,0.00692118497773,3.32719967240061,0.00134007938071,78.4444444444444,Basswood
SUREstim,bbranche,2.23820742887874,0.08882057359671,25.1992003456459,3.1637298519737E-39,78.4444444444444,Basswood
SUREstim,afoliage,0.0288438121523,0.00947105317055,3.04547040681555,0.00316792375513,78.4444444444444,Basswood
SUREstim,bfoliage,1.63777616458508,0.09660783034516,16.9528304148182,7.062660301379E-28,78.4444444444444,Basswood
SUREstim,awood,0.14782102733323,0.0201829132931,7.32406789775806,8.4457837655617E-12,175.444444444444,Beech
SUREstim,bwood,2.29860339462375,0.0401195402975,57.2938617336712,2.5949821736121E-115,175.444444444444,Beech
SUREstim,abark,0.01202438017083,0.00097989075929,12.2711435501935,2.2521881811952E-25,175.444444444444,Beech
SUREstim,bbark,2.23875352525355,0.02561325499005,87.4060530816068,2.6308137184166E-146,175.444444444444,Beech
SUREstim,abranche,0.03702983667365,0.00420674028679,8.8025012596829,1.2626892033556E-15,175.444444444444,Beech
SUREstim,bbranche,2.36795135617312,0.03529177067332,67.0964168415308,8.555519630362E-127,175.444444444444,Beech
SUREstim,afoliage,0.03756509893396,0.00549366353792,6.83789581844844,1.2902166837454E-10,175.444444444444,Beech
SUREstim,bfoliage,1.61638989598772,0.04449144950236,36.3303491809546,1.9675420749339E-83,175.444444444444,Beech
SUREstim,awood,0.09413089063139,0.0072522781667,12.9794925770448,2.0188740035581E-20,71.4444444444444,Black Ash
SUREstim,bwood,2.34910820542337,0.02452420629641,95.7873285288354,8.0235004486435E-77,71.4444444444444,Black Ash
SUREstim,abark,0.03231105282381,0.00499354607325,6.47056267225439,1.0812663252893E-8,71.4444444444444,Black Ash
SUREstim,bbark,2.07608794492756,0.04744973460522,43.7534153183466,4.2543778263585E-53,71.4444444444444,Black Ash
SUREstim,abranche,0.04477776817479,0.00859808279735,5.20787822473451,1.7846902602814E-6,71.4444444444444,Black Ash
SUREstim,bbranche,1.97707221924301,0.07806456932659,25.326114475463,2.7837735240082E-37,71.4444444444444,Black Ash
SUREstim,afoliage,0.05377794880489,0.00876623100568,6.13467164737601,4.3374859972881E-8,71.4444444444444,Black Ash
