Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6
1;ldhp;;;;;0.14602269;-0.020534728;8.26814E-05;0.013489692;-8.89634E-05;2.83113E-06
2;ldhp2;;;;;-0.020534728;0.010253887;-7.18169E-05;-0.007938927;7.23867E-07;-9.66561E-07
3;ldhp*st;;;;;8.26814E-05;-7.18169E-05;3.15254E-06;4.05711E-05;9.19455E-10;3.42462E-08
4;ldhp*rdhp;;;;;0.013489692;-0.007938927;4.05711E-05;0.008893045;-5.05964E-07;4.22702E-07
5;ldhp*Ptot;;;;;-8.89634E-05;7.23867E-07;9.19455E-10;-5.05964E-07;8.07204E-08;-1.56093E-08
6;ldhp*alt;;;;;2.83113E-06;-9.66561E-07;3.42462E-08;4.22702E-07;-1.56093E-08;4.79749E-08
