row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col8;Col9;Col10;Col11;Col12;Col13;Col15;Col16
1;ldhp;;;;;0.3974027187575900000000000;-0.048606776409404400000000000000;0.000270668334804700000000000000;0.031881587598522800000000000000;-0.013796459903775000000000000000;-0.012515383898463600000000000000;-0.006317479396970500000000000000;-0.010429601792678100000000000000;-0.011048668701153300000000000000;-0.008557317027742500000000000000;-0.017348971940432700000000000000;-0.011855848186856700000000000000;-0.008558731117580100000000000000;-0.000233875372923200000000000000
2;ldhp2;;;;;-0.0486067764094044000000000;0.019089149415869100000000000000;-0.000223761167337800000000000000;-0.013302883650273800000000000000;0.001259041082891700000000000000;0.001964735597553700000000000000;0.001035695191973300000000000000;0.001113849820708200000000000000;0.000391730065021100000000000000;0.000982498412209900000000000000;0.000653076298826000000000000000;0.001751219045467000000000000000;0.000297827099253100000000000000;0.000008483273150700000000000000
3;ldhp*st;;;;;0.0002706683348047000000000;-0.000223761167337800000000000000;0.000010489049737700000000000000;0.000102842865781800000000000000;0.000013388970089200000000000000;-0.000006994681930700000000000000;0.000060545351581700000000000000;0.000047198674881900000000000000;0.000050047666580200000000000000;0.000035474930061000000000000000;0.000055757920910100000000000000;0.000038109476000300000000000000;-0.000004006922237600000000000000;0.000000031667168300000000000000
4;ldhp*rdhp;;;;;0.0318815875985228000000000;-0.013302883650273800000000000000;0.000102842865781800000000000000;0.013354880736979900000000000000;-0.000852390592532000000000000000;-0.001144976292781500000000000000;-0.001537076346565000000000000000;-0.001428238658245400000000000000;-0.001072275361146500000000000000;-0.001459646549310600000000000000;-0.001061338089696600000000000000;-0.001881305342160500000000000000;-0.000207553854128000000000000000;-0.000006934132179800000000000000
5;ldhp*milieu;;;;0;-0.0137964599037750000000000;0.001259041082891700000000000000;0.000013388970089200000000000000;-0.000852390592532000000000000000;0.011585508053150300000000000000;0.001820981391298700000000000000;0.002103548561397100000000000000;0.003342199846819700000000000000;0.001231687713295300000000000000;0.003982304889006200000000000000;0.003813883453959900000000000000;0.003520360267113300000000000000;0.000828789748702900000000000000;0.000002151298717100000000000000
6;ldhp*milieu;;;;1;-0.0125153838984636000000000;0.001964735597553700000000000000;-0.000006994681930700000000000000;-0.001144976292781500000000000000;0.001820981391298700000000000000;0.018879137113027400000000000000;0.003692239361450500000000000000;0.001455471118358200000000000000;0.002259143029609700000000000000;0.000495383567044900000000000000;0.000592807463256100000000000000;0.000391721616482000000000000000;-0.001770683691753300000000000000;0.000011762530682400000000000000
8;ldhp*vp;;;FE2;;-0.0063174793969705000000000;0.001035695191973300000000000000;0.000060545351581700000000000000;-0.001537076346565000000000000000;0.002103548561397100000000000000;0.003692239361450500000000000000;0.040724353766258000000000000000;0.015927382349352900000000000000;0.015634529721461100000000000000;0.015731735252704900000000000000;0.015391737989655200000000000000;0.015762168120614100000000000000;-0.000918609332163200000000000000;-0.000008458855776100000000000000
9;ldhp*vp;;;FE3;;-0.0104296017926781000000000;0.001113849820708200000000000000;0.000047198674881900000000000000;-0.001428238658245400000000000000;0.003342199846819700000000000000;0.001455471118358200000000000000;0.015927382349352900000000000000;0.022520864542303600000000000000;0.015016507424813600000000000000;0.016628002318226000000000000000;0.015838048040497500000000000000;0.016276492193126000000000000000;0.000435318957926200000000000000;-0.000010271016213400000000000000
10;ldhp*vp;;;FE6;;-0.0110486687011533000000000;0.000391730065021100000000000000;0.000050047666580200000000000000;-0.001072275361146500000000000000;0.001231687713295300000000000000;0.002259143029609700000000000000;0.015634529721461100000000000000;0.015016507424813600000000000000;0.024166090879648700000000000000;0.014750869817374400000000000000;0.014829017823122900000000000000;0.014900336073739900000000000000;-0.000813696288063500000000000000;-0.000001782094838300000000000000
11;ldhp*vp;;;MJ1;;-0.0085573170277425000000000;0.000982498412209900000000000000;0.000035474930061000000000000000;-0.001459646549310600000000000000;0.003982304889006200000000000000;0.000495383567044900000000000000;0.015731735252704900000000000000;0.016628002318226000000000000000;0.014750869817374400000000000000;0.032649071392069700000000000000;0.016117450167796700000000000000;0.016725231936120600000000000000;0.001174980216907900000000000000;-0.000014685154283400000000000000
