Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;6780;68.55;<.0001
ldhp2;1;15E3;1173.99;<.0001
ldhp*st;1;15E3;1153.35;<.0001
ldhp*rdhp;1;15E3;314.25;<.0001
ldhp*sdom;9;3820;28.09;<.0001
ldhp*vp;16;3886;8.19;<.0001
ldhp*alt;1;3909;35.45;<.0001
ldhp*milieu;9;3972;7.20;<.0001
ldhp*pert;2;11E3;14.62;<.0001
ldhp*Tmoy;1;3775;20.21;<.0001
