Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col32;Col33;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col43;Col44;Col46
11;ldhp*sdom;;5EST;;;-0.001535673;8.05066E-05;9.6129E-07;-4.70183E-05;0.005483821;0.005670307;0.005199759;0.005237179;0.004708723;0.004658267;0.005401036;0.00418897;0.002830803;0.000218828;7.78236E-05;0.000234994;-9.7238E-05;4.9872E-05;-4.61432E-05;-0.000308639;-0.000219401;-0.000232642;-0.000895176;0.000603187;-0.000189739;0.000126423;0.000201625;0.000133831;-0.000188028;-3.56454E-06;-0.000422551;-0.000496465;-0.000445834;-0.000526993;-0.000174895;-0.000332388;-0.000382258;0.000194405;-0.00015024;2.34995E-06;-2.22188E-05;-0.000674107
12;ldhp*sdom;;5OUEST;;;-0.002127683;-4.92625E-06;1.32203E-06;1.78038E-05;0.005345973;0.005420451;0.004863633;0.004977595;0.004478043;0.004417344;0.00418897;0.004665495;0.00279668;0.00020882;8.79888E-05;0.000204745;2.49101E-05;-1.44638E-05;-6.04305E-05;-0.000188336;-0.000202121;-0.000201891;-0.000289226;0.000455675;-6.84714E-05;0.000105271;0.000164755;1.28234E-05;-8.68013E-05;-2.15547E-06;-0.000139292;-0.00019095;-0.000163358;-0.00010076;0.000145611;-0.00011995;-0.00020167;0.000316381;-4.66067E-05;2.90071E-06;-1.17186E-05;-0.000580392
13;ldhp*sdom;;6EST;;;-0.003183991;6.34484E-05;-1.96977E-06;-3.98396E-05;0.002044896;0.002167728;0.00244001;0.002354903;0.002599943;0.002598481;0.002830803;0.00279668;0.005975854;-2.14192E-05;-5.22884E-06;2.65859E-06;-6.7301E-05;6.33662E-05;5.11696E-05;-2.65002E-05;3.6029E-05;-2.63741E-05;-8.68339E-05;0.000523811;4.0067E-05;1.87635E-05;0.000238665;-0.000194823;-7.90145E-05;2.46063E-07;-0.000186405;-4.04717E-05;-8.8339E-05;-8.24014E-05;0.000312094;-5.0291E-06;-3.3954E-05;0.000645572;-1.15558E-05;-6.37305E-06;-3.43188E-06;0.000192886
15;ldhp*vp;;;FE2;;-0.016429393;-9.8968E-05;1.49591E-06;5.91465E-05;0.003588321;-0.001823749;0.000769167;2.70209E-05;0.000352176;0.000264844;0.000218828;0.00020882;-2.14192E-05;0.025832815;0.01711368;0.017713817;0.017393887;0.016838277;0.017017371;0.016898862;0.016891641;0.01690897;0.017119998;0.016861885;0.016723976;0.017495116;0.01696448;0.016854421;0.016758736;-4.02976E-07;-0.000235968;-0.000159374;-0.00016314;-0.000238406;0.001324429;6.08193E-05;-4.14335E-05;-0.000248884;-5.41064E-05;3.14718E-05;1.33348E-05;-0.000136942
16;ldhp*vp;;;FE3;;-0.01663584;-7.43861E-05;1.61049E-06;3.84272E-05;0.003665127;-0.000106676;0.00065261;3.18809E-06;-2.15872E-05;0.000131201;7.78236E-05;8.79888E-05;-5.22884E-06;0.01711368;0.019693859;0.017154057;0.01712082;0.016867665;0.017046845;0.017203088;0.017080598;0.017229441;0.017226753;0.017018603;0.016851475;0.017283656;0.017000177;0.017029586;0.01689138;-3.16455E-07;-0.000208433;-0.000176717;-0.000197032;-0.000432519;0.001282718;7.37648E-06;-0.000128808;-0.000261551;-7.16963E-05;3.50551E-05;1.63239E-05;-7.29901E-05
17;ldhp*vp;;;FE6;;-0.016545848;-8.8427E-05;5.60059E-07;7.2154E-05;0.003609484;-0.000971361;0.000910044;-0.0002234;0.00034455;0.000247232;0.000234994;0.000204745;2.65859E-06;0.017713817;0.017154057;0.028652896;0.017436082;0.016906233;0.017141016;0.016997071;0.017013899;0.017009908;0.017140895;0.017017558;0.016863802;0.01771567;0.017045118;0.016985271;0.016912577;-5.49945E-07;-0.000392849;-0.000191288;-0.000108868;-0.00019477;0.001396253;0.000120512;-3.83475E-05;-0.000244371;-6.03845E-05;1.85962E-05;6.37815E-06;-0.000134792
18;ldhp*vp;;;MF1;;-0.024567389;-8.06666E-05;2.22324E-06;4.61604E-05;0.003824562;-0.000830563;0.00058204;-0.00049901;1.81244E-06;-7.50004E-05;-9.7238E-05;2.49101E-05;-6.7301E-05;0.017393887;0.01712082;0.017436082;0.040896956;0.016989339;0.017300642;0.017284607;0.01717184;0.017200609;0.01797064;0.017187125;0.024555318;0.017617004;0.017241653;0.01720915;0.024449533;4.30911E-07;0.007276768;0.007343572;0.007388782;0.007247743;0.008591371;0.007075379;0.007354418;-0.000263998;-0.000239634;3.57788E-05;-4.83283E-06;1.12598E-05
19;ldhp*vp;;;MJ1;;-0.016754554;-4.93512E-05;1.63518E-06;4.1057E-05;0.003227023;-0.000261236;0.000177013;-0.00024997;1.25957E-05;-0.000196553;4.9872E-05;-1.44638E-05;6.33662E-05;0.016838277;0.016867665;0.016906233;0.016989339;0.018763099;0.017032419;0.016926668;0.017015867;0.016913864;0.016919002;0.017019004;0.016948831;0.017109735;0.016899271;0.017006489;0.017062433;-3.96828E-07;-9.62338E-05;-0.000122921;-4.50885E-05;-0.000200099;0.001322779;8.74581E-05;-3.07281E-05;-0.000321269;-0.000179397;2.11349E-05;1.20378E-05;3.3079E-05
20;ldhp*vp;;;MJ2;;-0.017376288;-2.73216E-05;1.71254E-06;1.96475E-05;0.003337026;-0.000304555;0.000475462;-0.000372597;9.12349E-07;-0.000353611;-4.61432E-05;-6.04305E-05;5.11696E-05;0.017017371;0.017046845;0.017141016;0.017300642;0.017032419;0.018113403;0.017228051;0.017321857;0.017216575;0.017314966;0.01734635;0.017294124;0.01743743;0.017166156;0.017337745;0.017417169;9.51538E-08;-4.94546E-05;-4.45177E-05;2.56316E-05;-0.00017331;0.001494191;0.000113936;2.11532E-06;-0.000308975;-0.000181688;2.02777E-05;-1.85341E-06;7.4422E-05
21;ldhp*vp;;;MS1;;-0.017510228;-1.79992E-05;1.6844E-06;1.88737E-05;0.004007843;0.000512113;0.001069871;0.000370303;-0.000631912;0.000160087;-0.000308639;-0.000188336;-2.65002E-05;0.016898862;0.017203088;0.016997071;0.017284607;0.016926668;0.017228051;0.01930049;0.017632717;0.018124026;0.017864851;0.01749402;0.017418716;0.01728122;0.017339121;0.017583067;0.01744094;-7.17091E-08;-9.57135E-06;-0.000124895;-4.72577E-05;-0.000173733;0.001364699;7.47472E-05;-1.26162E-05;-0.000220023;-7.34501E-05;3.38708E-05;-1.50756E-06;-1.88351E-05
