Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;1306;140.26;<.0001
ldhp2;1;1366;589.67;<.0001
ldhp*st;1;1332;204.95;<.0001
ldhp*rdhp;1;1163;42.90;<.0001
ldhp*pert;2;860;23.62;<.0001
ldhp*sdom;5;354;5.39;<.0001
ldhp*milieu;4;332;2.89;0.0225
ldhp*vp;5;380;2.86;0.0150
