a1;b1;b2;b3;b4;b0
2.18E-07;-1.77E-08;2.38E-08;5.01E-10;2.59E-09;-3.08E-08
-1.77E-08;1.73E-05;-2.33E-06;9.44E-10;-8.09E-08;-9.65E-06
2.38E-08;-2.33E-06;3.67E-07;-2.68E-11;7.53E-09;1.50E-06
5.01E-10;9.44E-10;-2.68E-11;1.22E-09;-1.29E-08;-3.84E-08
2.59E-09;-8.09E-08;7.53E-09;-1.29E-08;2.85E-07;-1.97E-06
-3.08E-08;-9.65E-06;1.50E-06;-3.84E-08;-1.97E-06;4.74E-05
