"speciesID","sigma2"
1,0.196010124497608
2,0.304226855710776
3,0.291938473205541
4,0.367124449398129
5,0.328859004812686
6,0.308169216667289
7,0.217742288866626
8,0.186330316822547
9,0.307314435775
10,0.290024935052834
12,0.306481785693403
11,0.212551878477225
13,0.421082904172354
14,0.296905945725496
15,0.932125262504128
16,0.189920443484589
17,0.218815437219801
18,0.207591878681899
19,0.175861814901517
20,0.180007473530021
21,0.237448935780617
22,0.205785560757129
23,0.179708775959446
24,0.232576803369341
25,0.214480947864714
26,0.37653339330956
27,0.178831892113456
28,0.163792625843221
29,0.10401115734804
30,0.186752765084646
31,0.340322542590868
32,0.282745004613028
33,0.33565052264826
