"Effect","EffectID"
"(Intercept)",1
"BAL",2
"BAS",3
"CMI",4
"DBH.x",5
"DD",6
"dt",7
"dummyHarvest",8
"G_TOT",9
"I(G_TOT^2)",10
"I(MeanTempJuneToAugust^2)",11
"I(MeanTmaxJuly^2)",12
"I(MeanTminJanuary^2)",13
"I(TotalPrecJuneToAugust^2)",14
"log(DBH.x)",15
"log(DBH.x):G_TOT",16
"log(N_TOT)",17
"MeanSummerVPD",18
"MeanTempJuneToAugust",19
"MeanTmaxJuly",20
"MeanTminJanuary",21
"N_TOT",22
"SMImean",23
"TotalPrecJuneToAugust",24
"TotalPrecMarchToMay",25
