ESSENCE,DHP,GROUPE,DER,ScF1,ScF2,ScF3,ScF4,PATE,CARIE,NU,BM,AUTRE
BOP,94,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,96,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,98,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,100,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,102,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,104,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,106,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,108,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,110,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,112,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,114,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,116,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,118,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,120,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,122,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,124,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,126,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,128,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,130,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,132,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,134,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,136,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,138,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,140,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,142,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,144,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,146,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,148,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,150,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,152,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,154,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,156,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,158,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOP,160,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
CAC,10,Tous FD 10-22 ,0,0,0,0,0,60,1,39,0,0
CAC,12,Tous FD 10-22 ,0,0,0,0,0,78,1,21,0,0
CAC,14,Tous FD 10-22 ,0,0,0,0,0,80,1,15,4,0
CAC,16,Tous FD 10-22 ,0,0,0,0,0,80,1,12,7,0
CAC,18,Tous FD 10-22 ,0,0,0,0,0,80,1,10,9,0
CAC,20,Tous FD 10-22 ,0,0,0,0,0,80,1,9,10,0
CAC,22,Tous FD 10-22 ,0,0,0,0,0,80,1,9,10,0
CAC,24,AUF 24 +  ,0.369673,0.04070443,4.936518,32.87616,5.176368,29.60057,1,9,17,0
CAC,26,AUF 24 +  ,0.4783325,0.07069683,5.600336,32.87616,4.341733,28.63274,2,9,17,0
CAC,28,AUF 24 +  ,0.6112765,0.1194852,6.308047,32.87616,3.711318,28.37371,2,9,17,0
CAC,30,AUF 24 +  ,0.7687896,0.1957905,7.031725,28.12662,3.222135,31.65494,3,9,17,0
CAC,32,AUF 24 +  ,0.949098,0.3101482,7.742014,24.31018,2.83404,34.85452,3,9,17,0
CAC,34,AUF 24 +  ,1.146985,0.4734081,8.403649,21.16979,2.518266,37.2879,4,8,17,0
CAC,36,AUF 24 +  ,1.354757,0.6947109,8.988617,18.54342,2.256642,39.16185,4,8,17,0
CAC,38,AUF 24 +  ,1.56356,0.9790925,9.482936,16.33168,2.03816,39.60457,5,8,17,0
CAC,40,AUF 24 +  ,1.763038,1.324074,9.878349,14.45677,1.854267,41.7235,6,7,16,0
CAC,42,AUF 24 +  ,1.942219,1.717258,10.17186,12.85781,1.698311,42.61255,6,7,16,0
CAC,44,AUF 24 +  ,2.090512,2.135834,10.36454,11.48682,1.565104,42.35719,7,7,16,0
CAC,46,AUF 24 +  ,2.198048,2.547931,10.45705,10.30281,1.450153,42.04401,8,7,16,0
CAC,48,AUF 24 +  ,2.256828,2.916992,10.4502,9.272586,1.349802,42.75359,8,7,16,0
CAC,50,AUF 24 +  ,2.262335,3.208454,10.34811,8.372328,1.261518,44.54725,9,6,15,0
CAC,52,AUF 24 +  ,2.213528,3.394593,10.15509,7.582955,1.183317,44.47052,10,6,15,0
CAC,54,AUF 24 +  ,2.112961,3.458095,9.875205,6.888923,1.113626,44.55119,11,6,15,0
CAC,56,AUF 24 +  ,1.966041,3.392694,9.509418,6.275521,1.050871,44.80545,12,6,15,0
CAC,58,AUF 24 +  ,1.781893,3.205378,9.06191,5.732484,0.9940798,45.22425,13,6,15,0
CAC,60,AUF 24 +  ,1.572438,2.915309,8.540601,5.252964,0.9427915,46.7759,14,5,15,0
CAC,62,AUF 24 +  ,1.350323,2.549875,7.9533,4.830304,0.8965331,47.41967,15,5,15,0
