SDOM_BIO;sdom
1OUEST;1
2EST;2EST
2OUEST;2OUEST
3EST;3EST
3OUEST;3OUEST
4EST;2EST
4OUEST;2EST
5EST;2EST
5OUEST;2EST
6EST;2EST
6OUEST;2EST
7EST;2EST
