ModelID;ParameterEstimate
1;2.38645481035342
1;2.31504184727032
1;3.26436523375044
1;0
1;0
1;0.82123740043022
1;0
1;0
1;0.65863083464562
1;0.74787371044178
1;0
1;0
1;0
1;0
1;0.52581483133394
1;0
1;0
1;0
1;0
1;0.35134918129094
1;0.35742610763306
1;0
1;0
1;0
1;0
1;0
1;0
1;0.59320553352363
1;0
1;0
1;0
1;0
1;0
1;0
1;0.44178239380421
1;0.5333882876023
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.52997052787245
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.42433464483796
1;0.56636749770633
1;-0.0975901017609
1;-0.0998808647722
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00410584932931
1;-0.0961225787663
1;-0.118529474671
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00414714157441
1;0.00460267024358
1;0
1;0
1;-0.0335059305168
1;-0.0288882795654
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00142007436602
1;0
1;0
1;-0.0299815228457
1;-0.030826007103
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00131502287503
1;0.00133582551782
1;0
1;0
1;0
1;0
1;-0.0211439212834
1;-0.015513917559
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00089293512705
1;0
1;0
1;0
1;0
1;-0.0173106689559
1;-0.0157569202594
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00076435724166
1;0.0007346543932
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.0251272760642
1;-0.0204238252514
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00111533039498
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.0215326195202
1;-0.022515377944
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00099546397605
1;0.0010216952566
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.0232058939284
1;-0.0199904507244
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00105655674483
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.020788604173
1;-0.0234224880361
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00097935337688
1;0.00105144703925
1;0.00095514343242
1;0.00102803863987
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.0000412089968
1;-0.0000426850708
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;4.24149721659E-7
1;0
1;0
1;0.00032122973134
1;0.00029735095948
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.0000140894926
1;-0.0000135357079
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;1.45025048636E-7
1;0
1;0
1;0
1;0
1;0.00019724631384
1;0.00015898250054
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;-8.7094640165E-6
1;-7.8329296985E-6
1;0
1;0
1;0
1;0
1;0
1;0
1;8.92522705799E-8
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00023822093525
1;0.00021190560696
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.0000110130753
1;-0.0000103283491
1;0
1;0
1;0
1;0
1;0
1;1.14265196127E-7
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0.00023483239368
1;0.00021738976477
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;0
1;-0.0000110629793
1;-0.0000106501551
1;0
1;0
1;0
1;0
1;1.20306365373E-7
2;3.38683646540656
2;3.35138973228983
2;3.35542883963633
2;0
2;0
2;0.81840115174148
2;0
2;0
2;0.79430166861603
