Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;174;8.06;0.0051
ldhp2;1;160;44.65;<.0001
ldhp*st;1;195;18.91;<.0001
ldhp*vp;1;73.4;18.83;<.0001
