"sp","parmEst"
1,1.87990631988485
1,-0.00101197947363693
1,5.54389950260843e-07
1,0.00362966108768095
1,-3.2012459874001e-06
1,0.000644850558317236
1,-0.00788257172141883
1,3.30798059097798e-06
1,2.04788193607387e-05
1,0.000654173424979975
1,-0.0210115032939661
1,9.54193374178826e-06
1,-0.0026135305657485
1,-0.000529546643686002
1,0.0358601024404983
2,0.299529680698157
2,-0.00147362831685867
2,0.000244367310537462
2,-5.18706202113362e-05
2,1.62537178613978e-07
2,5.21590975986866e-08
2,-0.0011031262902906
2,-2.2255193331534e-06
2,-2.45126008032559e-08
2,5.7184198625087e-06
2,-0.000283524367065309
2,-3.93911575264987e-07
2,4.94357049356212e-08
2,7.83877298149555e-10
2,3.12928028189356e-05
2,-0.000399072616498138
2,1.93551407012419e-06
2,-8.70191241754172e-10
2,7.14625866291637e-07
2,5.72724260418878e-06
2,2.16386346077643e-05
2,-0.00441906527441018
2,-9.65525046718494e-06
2,9.94085740996633e-07
2,1.19042881882192e-05
2,3.36652784758827e-05
2,4.05324448257607e-05
2,0.00356731674251488
2,-0.00265397017681669
2,-8.74658365956638e-05
2,6.81390288144247e-07
2,7.40498628844121e-06
2,2.6765122622417e-05
2,-1.99291239132167e-05
2,0.000320858218937196
2,0.0731202063216442
2,-0.000154610114559417
2,-2.99980769350813e-05
2,-7.04308456082622e-08
2,1.05586732013186e-06
2,2.31157938601662e-07
2,-1.27416646458565e-06
2,-8.02732186416011e-06
2,1.12502954814675e-05
2,1.14177866294996e-05
3,34.1766070803158
3,0.00176088401088616
3,6.04775420313475e-05
3,0.00419583188117671
3,3.17044441491146e-07
3,5.33270078439534e-07
3,-5.5122031714026
3,-0.000391558544351023
3,-0.000681691275520119
3,0.890804592908987
3,-0.000152337869397753
3,1.76175136458253e-07
3,-7.80870368169593e-09
3,1.99039610806537e-05
3,1.88396701019575e-08
3,-0.0417763562708276
3,-1.11125296363028e-05
3,-4.98426934822716e-06
3,0.00656083537028825
3,5.47569357257704e-07
3,0.00624362403382797
3,-0.0132912623797254
3,8.04646193704939e-06
3,-2.35785441815263e-06
3,0.00220440831492531
3,-1.26000296894395e-07
3,0.000354031677508719
3,0.00363134561422515
3,0.00503055296984425
3,-2.03300775339726e-06
3,-1.34159813833696e-07
3,-0.000805584124542997
3,6.16493842407614e-08
3,0.00040552750580706
3,0.000501743876353566
3,0.0082319133889138
3,0.000702623873176216
3,-3.76390336997276e-07
3,-1.53636965761128e-08
3,-9.78525999804387e-05
3,-7.01921523795222e-08
3,1.22444904311522e-05
3,2.04599676305758e-05
3,4.17553835995788e-05
3,1.68514146644172e-05
3,-0.00113590216278147
3,6.73386757430155e-07
