"sp","parmEst"
1,0.548092145999698
2,0.584786997445809
3,0.695813837610643
4,0.465020978836305
5,0.548925096206492
6,0.379338415978011
7,0.938938197653215
8,0.50667916379256
9,0.642937118344945
10,0.601216675630896
11,0.704671200439392
12,0.77229582827999
13,0.57216816623321
14,0.677052260616363
15,0.951060468341768
16,0.3943739396986
17,0.387717966919303
18,0.767828544374746
19,0.430078523702445
20,0.487564618401182
21,0.487365530383453
22,0.498211305638824
23,0.635658064720486
24,0.340719152544076
25,0.524828532883767
26,0.461257025212649
27,0.819716398830012
28,0.515204284792216
29,0.667541881373057
30,0.450240064427005
31,0.556530363951682
32,0.597932997354296
33,0.413718473755216
