"","sp","effect","parmEst"
"1","BOG",1,-1026.69479490946
"2","BOG",2,-0.0267400456851284
"3","BOG",14,91.782512991854
"4","BOG",35,-0.0476685458607003
"5","BOG",17,60.2726318022859
"6","BOG",3,0.0767868436197083
"7","BOG",4,-0.414964149982818
"8","BOG",5,-16.294725424619
"9","BOG",32,0.648895687965195
"10","BOG",33,0.191805871088689
"11","BOG",7,-0.226601086238928
"12","BOG",19,0.00288348161530369
"13","BOG",34,-0.0389192511018086
"14","BOJ",1,-315.394499848199
"15","BOJ",10,0.726113078030687
"16","BOJ",2,-0.015018221776699
"17","BOJ",14,41.456415093102
"18","BOJ",17,3.35051583568707
"19","BOJ",13,0.25182640883496
"20","BOJ",3,-0.251533650640323
"21","BOJ",4,0.0384921151319896
"22","BOJ",5,-0.525985037765244
"23","BOJ",32,-0.118814478357847
"24","BOJ",33,0.37254848387714
"25","BOJ",7,-0.0541914668368941
"26","BOJ",11,0.879681099816357
"27","BOJ",19,-0.0007603724706583
"28","BOJ",20,-12.3758085052295
"29","BOJ",21,-13.2304376910455
"30","BOJ",22,-0.475986748552448
"31","BOJ",23,-1.06381373761352
"32","BOJ",24,-0.827684599577576
"33","BOJ",25,-1.94128712820973
"34","BOJ",26,1.06330605308278
"35","BOJ",27,-0.000308683694225879
"36","BOJ",28,0.0993964315911161
"37","BOJ",29,0.348498018957636
"38","BOJ",30,-0.435934061199921
"39","BOJ",34,-0.00481498618030854
"40","BOP",1,-254.757648334075
"41","BOP",10,0.466503696174735
"42","BOP",2,-0.0172268560684272
"43","BOP",14,41.5373785954532
"44","BOP",35,0.00509910910186155
"45","BOP",17,-4.67680461287148
"46","BOP",9,-0.0121354543119576
"47","BOP",18,0.0457612578785439
"48","BOP",13,0.367939339112647
"49","BOP",3,-0.118787393526091
"50","BOP",4,-0.0281847284667274
"51","BOP",5,-0.277869127298408
"52","BOP",32,0.257718659714133
"53","BOP",33,0.457767237257028
"54","BOP",7,-0.10216938504441
"55","BOP",11,0.350252651667268
"56","BOP",19,0.0012186910332683
"57","BOP",20,-2.30293540854403
"58","BOP",21,-0.568497921581845
"59","BOP",22,-0.0703399100986159
"60","BOP",23,-0.90094473816976
"61","BOP",24,-0.369403330270956
"62","BOP",25,-1.14438303374759
"63","BOP",26,-0.441708224125464
"64","BOP",27,-0.00282898115135308
"65","BOP",28,0.595263201216759
"66","BOP",29,-0.222357932482165
"67","BOP",30,-0.0802532298529476
"68","BOP",36,-0.54137285480596
"69","BOP",37,-0.124730848728105
"70","BOP",38,0.623252829950416
"71","BOP",39,-0.43387298260871
"72","BOP",40,0.382970053895705
"73","CET",1,-988.77761248675
"74","CET",2,-0.0429942046543486
"75","CET",14,138.754489748277
"76","CET",35,0.00490650001875224
"77","CET",13,0.507469377566175
"78","CET",7,-0.110428035619744
"79","CET",34,-0.018801773761223
"80","CHR",1,-883.123324037162
"81","CHR",2,-0.0401404419102665
"82","CHR",14,125.058921050196
"83","CHR",35,-0.00425392666069339
"84","CHR",13,0.463559307619945
"85","CHR",3,1.60529050724131
"86","CHR",4,1.05588987958917
"87","CHR",5,1.93278483288606
"88","CHR",7,-0.102051513135223
"89","CHR",11,0.67844033529321
"90","CHR",34,-0.0107321298825958
"91","EPB",1,-130.571756183337
"92","EPB",10,0.469599555794055
"93","EPB",2,-0.00788201374090551
"94","EPB",14,21.3001197796811
"95","EPB",9,0.0493172834487295
"96","EPB",16,-6.22475302116289
"97","EPB",18,0.168979739983217
"98","EPB",6,0.0487153170829262
"99","EPB",13,0.175722453479435
"100","EPB",3,-0.152667219098951
"101","EPB",4,-0.0132255429191238
"102","EPB",5,-0.266967980455839
"103","EPB",32,0.253646593315035
"104","EPB",33,0.18832824673274
"105","EPB",7,-0.0489880770361243
"106","EPB",11,0.30018759969241
"107","EPB",20,-2.77996215823298
"108","EPB",21,0.375188880605401
"109","EPB",22,-0.082283868455876
"110","EPB",23,-0.850778613053508
"111","EPB",24,-0.548914076909038
"112","EPB",25,0.0345738280153332
"113","EPB",26,-0.0112883524023492
"114","EPB",27,0.155480701769448
"115","EPB",28,0.527117305585384
"116","EPB",29,0.154073058251365
"117","EPB",30,0.902518935094089
"118","EPB",34,0.00783359854089415
"119","EPN",1,-99.4645259054374
"120","EPN",10,0.56964928171554
"121","EPN",2,-0.00562264474385651
"122","EPN",14,7.58285439709346
"123","EPN",35,-0.00990952823100658
"124","EPN",17,8.39424639356359
"125","EPN",9,0.00572891274474015
"126","EPN",18,-0.0470027190745379
"127","EPN",13,-0.277155767621414
"128","EPN",3,0.283922052314825
"129","EPN",4,-0.0389619186568377
"130","EPN",5,0.444069276112736
"131","EPN",32,0.379632361412749
"132","EPN",33,0.0930274875533774
"133","EPN",8,0.28913108145116
"134","EPN",7,-0.159604967087245
"135","EPN",11,0.719977143496565
"136","EPN",19,0.00164516076356579
"137","EPN",20,-2.12737515199889
"138","EPN",21,-0.22396639421407
"139","EPN",22,-0.408078930627722
"140","EPN",23,-1.18180346755228
"141","EPN",24,-0.932940875131274
"142","EPN",25,-1.86146946264361
"143","EPN",26,-0.301665556302597
"144","EPN",27,0.174292057974056
"145","EPN",28,-0.0179075359297973
"146","EPN",29,-0.413984025424064
"147","EPN",30,0.375842905493646
"148","EPN",36,-0.345967984631382
"149","EPN",37,0.188682187737213
"150","EPN",38,-0.122958000007343
"151","EPN",39,-0.304034261099322
"152","EPN",40,0.0466517555448976
"153","EPN",34,0.0218436893969778
"154","EPR",1,-627.723300795753
"155","EPR",10,1.08861671674576
