"speciesId","species"
1,"BOG"
2,"BOJ"
3,"BOP"
4,"CET"
5,"CHR"
6,"EPB"
7,"EPN"
8,"EPR"
9,"ERE"
10,"ERP"
11,"ERR"
12,"ERS"
13,"FRA"
14,"FRN"
15,"HEG"
16,"MEL"
17,"ORA"
18,"OSV"
19,"PEG"
20,"PET"
21,"PeuBauDel"
22,"PIB"
23,"PIG"
24,"PIR"
25,"PRP"
26,"PRU"
27,"SAB"
28,"SAL"
29,"SmallTrees"
30,"Sorbus"
31,"SouthernSpecies"
32,"THO"
33,"TIL"
