"Intercept","CP","CouvertERS","CouvertSAB","ST_M2_ha","CP:CouvertERS","CP:CouvertSAB","CP:ST_M2_ha","CouvertERS:ST_M2_ha","CouvertSAB:ST_M2_ha"
0.000110023336739131,-4.85989393844373e-05,-0.000108433104821345,-0.00010981707445682,-4.79658077051995e-06,3.93839624381539e-05,4.01662377237699e-05,4.75575192076467e-07,4.72676099782394e-06,4.78665693344394e-06
-4.85989393844373e-05,0.00422669188236303,-0.000184565324539108,1.83561850566875e-05,1.20378309923012e-06,-0.00287556611718563,-0.00299026551362009,-6.97301685119569e-05,9.03338779762629e-06,2.51277726024412e-07
-0.000108433104821345,-0.000184565324539108,0.00102225502582392,0.000115332545939533,4.70356591360557e-06,-0.000341543134348144,-9.75072286333876e-05,1.59079158796699e-05,-4.12438882322603e-05,-5.0355167134075e-06
-0.00010981707445682,1.83561850566875e-05,0.000115332545939533,0.000227937361270423,4.7845162053099e-06,-5.03168959389164e-05,-9.04017731408718e-05,1.64945840944494e-06,-5.0266752016976e-06,-9.0419979536461e-06
-4.79658077051995e-06,1.20378309923012e-06,4.70356591360557e-06,4.7845162053099e-06,2.80558621078946e-07,-6.64786395330463e-07,-7.10542755108588e-07,-2.78170485374327e-08,-2.76474766331426e-07,-2.79978162169057e-07
3.93839624381539e-05,-0.00287556611718563,-0.000341543134348144,-5.03168959389164e-05,-6.64786395330463e-07,0.00387020334657288,0.0033225415190187,-2.52078658936717e-05,1.03498094141033e-05,1.19079943865025e-06
4.01662377237699e-05,-0.00299026551362009,-9.75072286333876e-05,-9.04017731408718e-05,-7.10542755108588e-07,0.0033225415190187,0.00413036026367436,-1.71484124174362e-05,3.22812205075036e-06,1.70190524330597e-06
4.75575192076467e-07,-6.97301685119569e-05,1.59079158796699e-05,1.64945840944494e-06,-2.78170485374327e-08,-2.52078658936717e-05,-1.71484124174362e-05,4.89965131886667e-06,-6.91506724181033e-07,-7.44240738294448e-08
4.72676099782394e-06,9.03338779762629e-06,-4.12438882322603e-05,-5.0266752016976e-06,-2.76474766331426e-07,1.03498094141033e-05,3.22812205075036e-06,-6.91506724181033e-07,1.87977394207422e-06,2.90904451017828e-07
4.78665693344394e-06,2.51277726024412e-07,-5.0355167134075e-06,-9.0419979536461e-06,-2.79978162169057e-07,1.19079943865025e-06,1.70190524330597e-06,-7.44240738294448e-08,2.90904451017828e-07,4.84714144531123e-07
