Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;5671;31.33;<.0001
ldhp2;1;8380;488.61;<.0001
ldhp*st;1;8474;512.64;<.0001
ldhp*rdhp;1;8710;121.62;<.0001
ldhp*Tmoy;1;1845;284.33;<.0001
ldhp*vp;15;2130;8.03;<.0001
ldhp*pert;2;6664;9.04;0.0001
ldhp*milieu;8;1929;3.16;0.0015
