Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col22;Col23;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32
22;ldhp*pert;INT;;;;3.55766E-06;-8.06306E-05;5.48008E-06;5.73583E-05;-5.50557E-06;5.6127E-05;4.64374E-05;5.63759E-05;5.61717E-05;4.97008E-05;5.11406E-05;4.30108E-05;7.04859E-05;6.93138E-05;3.60763E-05;9.9194E-05;1.92205E-05;1.91193E-05;5.19364E-05;5.10026E-05;0.000284219;5.02434E-05;-5.60287E-06;-1.89153E-05;-2.1821E-05;-3.59182E-05;-2.09204E-05;-1.71119E-05;-2.10803E-05;4.05093E-05
23;ldhp*pert;MOY;;;;-3.9726E-05;-6.91135E-05;2.61595E-06;8.70973E-05;1.77686E-05;3.7641E-05;4.33893E-05;2.07277E-05;-1.14763E-07;1.82355E-05;-4.23632E-05;2.89913E-06;-6.221E-08;3.09558E-05;-1.45225E-05;1.97327E-05;-2.02524E-05;-3.28817E-05;1.6033E-06;3.66401E-06;5.02434E-05;0.000603331;-2.10388E-05;-1.37751E-05;-2.97489E-05;-3.07488E-05;1.52062E-06;-2.51102E-05;-1.77027E-06;1.40515E-05
25;ldhp*milieu;;;;0;-0.011456873;0.000133369;-1.09688E-06;-5.52009E-05;0.000227272;0.000200908;0.00033928;-0.000196374;0.005096518;0.000604393;0.000738632;0.00144227;0.000498825;0.00070991;0.009146377;0.000274926;-0.000101308;0.000429046;0.000279446;0.000228886;-5.60287E-06;-2.10388E-05;0.011652121;0.009716843;0.009865899;0.009635145;0.009503638;0.009539152;0.00922305;0.002498387
26;ldhp*milieu;;;;1;-0.010163318;1.55843E-05;-4.58811E-06;5.08533E-05;9.65624E-05;-7.58994E-05;2.59296E-05;-0.000201406;0.00492569;0.000139481;0.00026366;0.001021097;2.55868E-05;4.39331E-05;0.00882209;-0.000154674;-0.000574598;-3.21689E-06;0.000212109;-9.89334E-05;-1.89153E-05;-1.37751E-05;0.009716843;0.013401174;0.009705963;0.009517376;0.009608751;0.009505423;0.00925953;0.002500257
27;ldhp*milieu;;;;2;-0.011104034;1.01303E-05;-2.83121E-06;3.8523E-05;0.000247855;1.61457E-06;0.000128275;-3.64491E-05;0.005101493;0.000375885;0.000572096;0.001154869;0.000252901;0.000388203;0.008959898;0.000231648;0.000107844;0.00028868;0.000404121;2.59553E-05;-2.1821E-05;-2.97489E-05;0.009865899;0.009705963;0.010174676;0.009736841;0.009514101;0.009570632;0.009239052;0.002526871
28;ldhp*milieu;;;;3;-0.010748213;0.000129784;-4.14077E-06;-9.02771E-05;0.000202445;-0.000150603;-7.24084E-05;-2.46794E-05;0.004879308;0.000238037;0.000418684;0.000448867;0.000158968;-0.00020771;0.008629806;0.000186698;7.09695E-05;6.63982E-06;0.0001511;-0.000112355;-3.59182E-05;-3.07488E-05;0.009635145;0.009517376;0.009736841;0.014448933;0.00936667;0.009405941;0.009184754;0.00263598
29;ldhp*milieu;;;;4;-0.010080759;5.71949E-05;-4.46326E-06;1.78809E-05;7.7451E-06;0.000537169;0.000421929;0.000455097;0.005180493;0.000432766;0.000490325;0.001261029;0.000245094;0.000473103;0.00911604;0.000431376;0.000340805;-0.00016921;0.000344094;-0.00089943;-2.09204E-05;1.52062E-06;0.009503638;0.009608751;0.009514101;0.00936667;0.019541601;0.009548695;0.009419026;0.002505036
30;ldhp*milieu;;;;5;-0.010416905;3.40829E-05;-1.65802E-06;1.51167E-05;0.000121174;0.000225453;0.000274859;0.000258135;0.004738227;0.000329511;0.000450996;0.001144873;0.000256708;0.00045879;0.008878859;4.92294E-05;0.000269989;-9.87372E-05;0.000285422;-0.000182715;-1.71119E-05;-2.51102E-05;0.009539152;0.009505423;0.009570632;0.009405941;0.009548695;0.010975205;0.00919592;0.002488908
31;ldhp*milieu;;;;6;-0.00984307;0.000149529;-3.01343E-06;-8.59498E-05;2.44046E-05;0.000304815;0.000154044;4.8377E-05;0.004206521;0.000294884;0.000384727;0.000654787;2.37089E-05;0.00018991;0.008600691;0.000256546;0.000235116;-0.00034019;0.00027161;-0.000423223;-2.10803E-05;-1.77027E-06;0.00922305;0.00925953;0.009239052;0.009184754;0.009419026;0.00919592;0.021196797;0.002539782
32;ldhp*milieu;;;;7;-0.00252351;-9.98055E-06;2.9395E-06;1.66504E-05;-1.4773E-05;3.78338E-05;-6.37897E-06;1.67833E-05;0.001286113;4.68623E-05;7.34053E-05;-0.000504774;1.46976E-06;-2.09463E-05;-0.009375895;2.84899E-05;7.97535E-06;7.40191E-07;-2.31029E-06;2.76773E-05;4.05093E-05;1.40515E-05;0.002498387;0.002500257;0.002526871;0.00263598;0.002505036;0.002488908;0.002539782;0.035693944
