row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5
1;ldhp;;;;;0.209850744;-0.100877664;0.000671446;0.065628755;-0.005944767
2;ldhp2;;;;;-0.100877664;0.054486284;-0.000575308;-0.045102517;0.001155459
3;ldhp*st;;;;;0.000671446;-0.000575308;2.12921E-05;0.000592756;1.60495E-05
4;ldhp*rdhp;;;;;0.065628755;-0.045102517;0.000592756;0.060019365;-0.000283294
5;ldhp*milieu;;;;0;-0.005944767;0.001155459;1.60495E-05;-0.000283294;0.012682474
