row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col25;Col26;Col27;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36
1;ldhp;;;;;0.0247331268949872000000000;-0.0030454295574598000000000;0.0000102015810583000000000;0.0024604315471762000000000;-0.0002360654187120000000000;-0.0034188217008773000000000;-0.0037128387626540000000000;-0.0041119292664566000000000;-0.0039968371512664000000000;-0.0043358376050881000000000;-0.0063593150335463000000000;-0.0040691121326678000000000;-0.0047118774676286000000000;-0.0040818645237861000000000;-0.0045392961647956000000000;-0.0048321343544237000000000;-0.0084636053116663000000000;-0.0047390500003822000000000;-0.0045693546268401000000000;-0.0043219977964600000000000;-0.0049172014941424000000000;-0.0084722537825371000000000;-0.0039348082248317000000000;-0.0000086708216491000000000;0.0000721571683057000000000;0.0000022780950062000000000;-0.0047829750446875000000000;-0.0046750336245682000000000;-0.0045905533177886000000000;-0.0042233763536945000000000;-0.0042759368723244000000000;-0.0040368426757090000000000;-0.0039672011287908000000000;-0.0000083178282368000000000
2;ldhp2;;;;;-0.0030454295574598000000000;0.0014048481261255000000000;-0.0000128222348577000000000;-0.0012086352866326000000000;0.0000237512645567000000000;0.0000027998344186000000000;-0.0000134519984736000000000;0.0001063008993173000000000;0.0000472945207565000000000;0.0000838595196948000000000;0.0000367919719007000000000;0.0000562790655642000000000;0.0001028147381505000000000;0.0001261691266390000000000;0.0001525303970601000000000;0.0002520289648708000000000;0.0002149119028071000000000;0.0002353916250894000000000;0.0000707746101854000000000;0.0000917721688694000000000;0.0002198216090851000000000;0.0001561454864911000000000;0.0001545982420823000000000;0.0000002836713616000000000;-0.0000541525817486000000000;-0.0000676288609761000000000;0.0000321226565563000000000;-0.0000189526740701000000000;-0.0000270905626234000000000;0.0000001024919110000000000;0.0000092981888770000000000;-0.0000377393162141000000000;0.0000271356635895000000000;-0.0000263824642646000000000
3;ldhp*st;;;;;0.0000102015810583000000000;-0.0000128222348577000000000;0.0000007535456585000000000;0.0000106152405049000000000;-0.0000004717764015000000000;0.0000061370184418000000000;0.0000058596110465000000000;0.0000057319632107000000000;0.0000062616381866000000000;0.0000051405779608000000000;0.0000059179804727000000000;0.0000056944171135000000000;0.0000058062134222000000000;0.0000044589755674000000000;0.0000063717673990000000000;0.0000046797333083000000000;0.0000024592336894000000000;0.0000064579133316000000000;0.0000030306826817000000000;0.0000015179816183000000000;0.0000061126913513000000000;0.0000068871364838000000000;0.0000049183093680000000000;-0.0000000021803162000000000;0.0000033754064312000000000;0.0000021712953447000000000;-0.0000004128537877000000000;-0.0000014096291941000000000;-0.0000017454037606000000000;-0.0000030692457029000000000;-0.0000026544663631000000000;-0.0000008154452376000000000;-0.0000009115905908000000000;0.0000025313903504000000000
4;ldhp*rdhp;;;;;0.0024604315471762000000000;-0.0012086352866326000000000;0.0000106152405049000000000;0.0014083359498256000000000;-0.0000267053660772000000000;-0.0000354716856170000000000;-0.0000181855844077000000000;-0.0001770516436107000000000;-0.0000728684509610000000000;-0.0000693411098986000000000;-0.0000952501277724000000000;-0.0000757254413884000000000;-0.0001112475018358000000000;-0.0001401684873835000000000;-0.0001537582056397000000000;-0.0002366268564440000000000;-0.0001930246843618000000000;-0.0001985677120490000000000;-0.0000101212667956000000000;-0.0000894567730820000000000;-0.0002196767686088000000000;-0.0001440515327738000000000;-0.0001466221278904000000000;-0.0000003816433119000000000;0.0000417061416573000000000;0.0000697514312097000000000;-0.0000047074638787000000000;0.0000423711540403000000000;0.0000429582459776000000000;0.0000223414121338000000000;0.0000021071238223000000000;0.0000516856857990000000000;0.0000041111856236000000000;0.0000129251519949000000000
5;ldhp*tmoy;;;;;-0.0002360654187120000000000;0.0000237512645567000000000;-0.0000004717764015000000000;-0.0000267053660772000000000;0.0000572807488290000000000;-0.0000148564627206000000000;0.0000606264955637000000000;0.0000889658654844000000000;-0.0000100138475146000000000;0.0000085646800398000000000;0.0000349757148099000000000;0.0000594899942521000000000;0.0000752990857973000000000;0.0001194479382853000000000;0.0000811776071709000000000;0.0001224297535024000000000;0.0000712429040809000000000;0.0000681414358055000000000;0.0000194722314655000000000;0.0000662900270229000000000;0.0001003158332726000000000;0.0000998141806839000000000;0.0000197630089274000000000;-0.0000001370961870000000000;-0.0000039748788207000000000;0.0000090335477570000000000;0.0000900417319281000000000;0.0000444184020966000000000;0.0001012456582825000000000;0.0001061341346206000000000;0.0000029490119013000000000;0.0000523083900224000000000;0.0000257635107917000000000;-0.0000183258887723000000000
6;ldhp*vp;;;FE2;;-0.0034188217008773000000000;0.0000027998344186000000000;0.0000061370184418000000000;-0.0000354716856170000000000;-0.0000148564627206000000000;0.0051252169155235000000000;0.0035942050485306000000000;0.0036109711092317000000000;0.0036153189593266000000000;0.0035730606574478000000000;0.0035534583986663000000000;0.0035869699974581000000000;0.0035747940680391000000000;0.0035878002338446000000000;0.0035906599927643000000000;0.0035884282467022000000000;0.0035725259896180000000000;0.0035802953595815000000000;0.0035394010416356000000000;0.0035290787579649000000000;0.0035702801430743000000000;0.0036011296664546000000000;0.0035775939572658000000000;-0.0000001807442020000000000;0.0000280165619308000000000;0.0000297288834287000000000;0.0000651926945825000000000;-0.0000526185543033000000000;-0.0000606292872836000000000;-0.0000660253917529000000000;0.0001098577947733000000000;0.0000281933245640000000000;0.0000795684134501000000000;0.0000328748334683000000000
7;ldhp*vp;;;FE3;;-0.0037128387626540000000000;-0.0000134519984736000000000;0.0000058596110465000000000;-0.0000181855844077000000000;0.0000606264955637000000000;0.0035942050485306000000000;0.0040810181658721000000000;0.0037386021352769000000000;0.0036101783233233000000000;0.0035916941274292000000000;0.0035872468474274000000000;0.0036692776437126000000000;0.0036778752307364000000000;0.0037507803493257000000000;0.0037020385266649000000000;0.0037547905310139000000000;0.0036401416492907000000000;0.0036670646015504000000000;0.0035680283227954000000000;0.0036191917869216000000000;0.0037029403849942000000000;0.0037096091414077000000000;0.0035941200005944000000000;-0.0000002850759805000000000;0.0000270453306601000000000;0.0000404418743072000000000;0.0001704892207034000000000;0.0000531987395325000000000;0.0000412786895843000000000;0.0000423542883427000000000;0.0001083897860924000000000;0.0000907463147808000000000;0.0001139551751967000000000;0.0000059364802503000000000
8;ldhp*vp;;;FE4;;-0.0041119292664566000000000;0.0001063008993173000000000;0.0000057319632107000000000;-0.0001770516436107000000000;0.0000889658654844000000000;0.0036109711092317000000000;0.0037386021352769000000000;0.0140255896157478000000000;0.0036442383677442000000000;0.0036173532549553000000000;0.0036217387472919000000000;0.0037269225645905000000000;0.0037449453311548000000000;0.0038410112556741000000000;0.0037792777432905000000000;0.0038604200134798000000000;0.0037028330292700000000000;0.0037285524735050000000000;0.0035820260507687000000000;0.0036677552615819000000000;0.0037846020519113000000000;0.0037872883229477000000000;0.0036263129784028000000000;-0.0000002632145845000000000;0.0000243810592880000000000;0.0000411008327544000000000;0.0002652670079929000000000;0.0001108500879557000000000;0.0000571555989418000000000;0.0000871690294119000000000;0.0001150495564157000000000;0.0001374230314299000000000;0.0001412488453839000000000;-0.0000000124593898000000000
9;ldhp*vp;;;FE5;;-0.0039968371512664000000000;0.0000472945207565000000000;0.0000062616381866000000000;-0.0000728684509610000000000;-0.0000100138475146000000000;0.0036153189593266000000000;0.0036101783233233000000000;0.0036442383677442000000000;0.0156613083917376000000000;0.0036165935317083000000000;0.0035683986925637000000000;0.0036072969773750000000000;0.0036135134279679000000000;0.0035947202998491000000000;0.0036276804231749000000000;0.0036288450880762000000000;0.0035723056878093000000000;0.0036103878602810000000000;0.0035895462214183000000000;0.0035489257839566000000000;0.0036125078370171000000000;0.0036070441291670000000000;0.0035690980569647000000000;0.0000002529619808000000000;0.0000405640425662000000000;0.0000377979217976000000000;0.0000708258995341000000000;-0.0000305476202293000000000;-0.0000870697109569000000000;-0.0000637113926917000000000;0.0001234397460032000000000;0.0000513795184341000000000;0.0000970594277072000000000;0.0000244703119978000000000
10;ldhp*vp;;;FE6;;-0.0043358376050881000000000;0.0000838595196948000000000;0.0000051405779608000000000;-0.0000693411098986000000000;0.0000085646800398000000000;0.0035730606574478000000000;0.0035916941274292000000000;0.0036173532549553000000000;0.0036165935317083000000000;0.0055793874544381000000000;0.0035762106050965000000000;0.0035941210921281000000000;0.0036180539374972000000000;0.0035892049483488000000000;0.0036303623898719000000000;0.0036370433848437000000000;0.0035801130997510000000000;0.0036356407133852000000000;0.0036213797654720000000000;0.0035559545053616000000000;0.0036563232321928000000000;0.0036191735451612000000000;0.0035525546516481000000000;0.0000004040072187000000000;0.0000303094371401000000000;0.0000320986768738000000000;-0.0000870659749577000000000;0.0000173067842067000000000;-0.0000205201646991000000000;-0.0000146547336285000000000;0.0001365014737946000000000;0.0000676274641280000000000;0.0000625088819012000000000;0.0000105717291714000000000
