Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;1224;50.47;<.0001
ldhp2;1;6221;1605.20;<.0001
ldhp*st;1;6207;2521.50;<.0001
ldhp*rdhp;1;6714;457.43;<.0001
ldhp*pert;2;4653;34.85;<.0001
ldhp*sdom;6;1146;11.72;<.0001
ldhp*vp;6;1210;4.21;0.0003
ldhp*alt;1;1158;18.61;<.0001
ldhp*Ptot;1;1083;7.69;0.0057
