row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col34
1;ldhp;;;;;0.1307098660908000000000000;-0.0033953246931123000000000;0.0000234998303239000000000;0.0020124651341314000000000;-0.0000500996019604000000000;0.0002484729585946000000000;-0.0018726373161690000000000;-0.0004326812198386000000000;-0.0006813698161835000000000;-0.0007327289149134000000000;-0.0001035784139629000000000;-0.0016535542518831000000000;-0.0001794480149521000000000;0.0006197189117837000000000;-0.1199898929273800000000000;-0.1198766721876900000000000;-0.1194821531773800000000000;-0.1203603064256700000000000;-0.1203086705236200000000000;-0.1198571993208100000000000;-0.1206929053298100000000000;-0.0065770568495246000000000;-0.0006062053197769000000000;-0.0007378315848070000000000;-0.0011439124519951000000000;-0.0012663322466178000000000;-0.0009725844332506000000000;-0.1146493832838500000000000;-0.0011776166665690000000000;-0.0000082859543968000000000
2;ldhp2;;;;;-0.0033953246931123000000000;0.0020965662289983000000000;-0.0000211134832284000000000;-0.0016389712397503000000000;-0.0000438270984182000000000;-0.0001925396101594000000000;-0.0001523994948261000000000;0.0000150878785903000000000;-0.0001940001738912000000000;-0.0001707728703628000000000;-0.0000607511988697000000000;0.0000477458887632000000000;0.0000180193936833000000000;0.0000388149244526000000000;-0.0002559284178996000000000;-0.0002288886078528000000000;-0.0002304502691924000000000;-0.0001377332077454000000000;-0.0001955632185672000000000;-0.0001915698634079000000000;-0.0001859819655971000000000;0.0001232965653330000000000;-0.0000960190837251000000000;-0.0001533305322135000000000;-0.0001064089431291000000000;0.0001337624512061000000000;0.0001168511862036000000000;-0.0001505987704670000000000;-0.0000135196897208000000000;-0.0000003925259216000000000
3;ldhp*st;;;;;0.0000234998303239000000000;-0.0000211134832284000000000;0.0000009549320002000000000;0.0000126763915701000000000;0.0000036102409139000000000;0.0000035669004402000000000;0.0000005685376948000000000;-0.0000018625693135000000000;0.0000011484756706000000000;0.0000014727199786000000000;-0.0000024857023336000000000;0.0000002394872766000000000;-0.0000013533037111000000000;0.0000012559994134000000000;0.0000059510621429000000000;0.0000031096941223000000000;0.0000026598153799000000000;-0.0000005128426525000000000;0.0000038230714798000000000;0.0000040171572131000000000;0.0000002448009897000000000;-0.0000015505060965000000000;0.0000008619975515000000000;0.0000018123241970000000000;0.0000008295660802000000000;0.0000055975806285000000000;-0.0000000442701933000000000;0.0000070664326902000000000;-0.0000010102866965000000000;0.0000000068019947000000000
4;ldhp*rdhp;;;;;0.0020124651341314000000000;-0.0016389712397503000000000;0.0000126763915701000000000;0.0019996749601294000000000;0.0000339019118570000000000;0.0001228394925745000000000;0.0001310844844526000000000;0.0000000106993557000000000;0.0001153216026569000000000;0.0001305670040623000000000;0.0000277917850482000000000;-0.0000624517056690000000000;-0.0000091205546800000000000;-0.0000105974639124000000000;0.0001734928848087000000000;0.0001687365820520000000000;0.0001413048308654000000000;0.0001089518094735000000000;0.0001435659142478000000000;0.0001005402498755000000000;0.0001573928049707000000000;-0.0001254174826664000000000;0.0000961769637660000000000;0.0001310247107245000000000;0.0000826665020888000000000;-0.0000589093446530000000000;-0.0000454641267862000000000;0.0001107075223557000000000;0.0000424829831266000000000;0.0000001132343716000000000
5;ldhp*pert;INT;;;;-0.0000500996019604000000000;-0.0000438270984182000000000;0.0000036102409139000000000;0.0000339019118570000000000;0.0008081646932306000000000;0.0000160475084561000000000;-0.0000800873709989000000000;-0.0001100532587889000000000;-0.0000603208957807000000000;-0.0000333298628677000000000;-0.0000202831005246000000000;-0.0000732031339249000000000;-0.0000078486959186000000000;0.0000102699691536000000000;0.0000626202018251000000000;0.0000242327992374000000000;0.0000322576037584000000000;0.0000219976748035000000000;0.0000694608504970000000000;0.0000280105785486000000000;0.0000346810405215000000000;0.0000135214919060000000000;-0.0000325666546928000000000;0.0000348204953181000000000;0.0000131397150978000000000;0.0000467590547613000000000;0.0000070359187074000000000;0.0000634768930089000000000;-0.0000467081173358000000000;0.0000000508756314000000000
6;ldhp*pert;MOY;;;;0.0002484729585946000000000;-0.0001925396101594000000000;0.0000035669004402000000000;0.0001228394925745000000000;0.0000160475084561000000000;0.0007304825571895000000000;0.0000590074933376000000000;0.0000400979524488000000000;0.0000174248995201000000000;0.0000502668407380000000000;0.0000097956166389000000000;0.0000379180191560000000000;0.0000273489375400000000000;0.0000242879807656000000000;0.0000506754843860000000000;0.0000399553669538000000000;0.0000230163015428000000000;0.0000337379716272000000000;0.0000467397095005000000000;0.0000411327963669000000000;0.0000190493851906000000000;0.0000082298922524000000000;0.0000001215215465000000000;0.0000136996181178000000000;0.0000106816499793000000000;0.0000418581484872000000000;0.0000036750332612000000000;0.0000345613881878000000000;-0.0000955763348915000000000;0.0000000291264648000000000
8;ldhp*sdom;;2OUEST;;;-0.0018726373161690000000000;-0.0001523994948261000000000;0.0000005685376948000000000;0.0001310844844526000000000;-0.0000800873709989000000000;0.0000590074933376000000000;0.0117228411226960000000000;0.0011431965694863000000000;0.0017441975505440000000000;0.0014434069410856000000000;0.0007371300655637000000000;0.0012513976118136000000000;0.0004284577274216000000000;-0.0002623273137289000000000;-0.0000474379556294000000000;-0.0002676651820312000000000;-0.0000782792987272000000000;0.0001044971102692000000000;-0.0003223509723647000000000;-0.0001499335995077000000000;0.0003011899195556000000000;0.0000435220633134000000000;0.0003694276286681000000000;-0.0032206663607017000000000;0.0000205098209814000000000;0.0004387257403469000000000;0.0001302873364406000000000;0.0001544714983101000000000;-0.0004464170574362000000000;0.0000045066906168000000000
9;ldhp*sdom;;3EST;;;-0.0004326812198386000000000;0.0000150878785903000000000;-0.0000018625693135000000000;0.0000000106993557000000000;-0.0001100532587889000000000;0.0000400979524488000000000;0.0011431965694863000000000;0.0088675175102884000000000;0.0008258489152412000000000;0.0006528679417351000000000;0.0006981556386184000000000;0.0005761662081342000000000;0.0006145933431367000000000;0.0003616083920279000000000;-0.0002801445185544000000000;-0.0002718702061756000000000;-0.0000325126630399000000000;0.0001035574044151000000000;-0.0000899155120362000000000;0.0000373382071414000000000;0.0001352405761232000000000;0.0000782895711952000000000;0.0000865361606445000000000;-0.0007723036280111000000000;-0.0000438931300794000000000;0.0004164791527299000000000;0.0001220873735190000000000;-0.0000159537177569000000000;-0.0001617004654045000000000;-0.0000004292758089000000000
10;ldhp*sdom;;3OUEST;;;-0.0006813698161835000000000;-0.0001940001738912000000000;0.0000011484756706000000000;0.0001153216026569000000000;-0.0000603208957807000000000;0.0000174248995201000000000;0.0017441975505440000000000;0.0008258489152412000000000;0.0063550206798509000000000;0.0009630387507013000000000;0.0006878418379748000000000;0.0008972344784247000000000;0.0005308928606334000000000;0.0000721369583522000000000;-0.0003884524187060000000000;-0.0003045371276255000000000;-0.0001245220983058000000000;0.0000105292699102000000000;-0.0001032180420899000000000;-0.0001397590584336000000000;0.0001676776514839000000000;-0.0000299697794028000000000;0.0001589232110269000000000;-0.0010216128282385000000000;-0.0001454534289823000000000;0.0004148707820009000000000;0.0000547100214534000000000;0.0000453125363259000000000;0.0000409228876588000000000;0.0000017636848626000000000
11;ldhp*sdom;;4EST;;;-0.0007327289149134000000000;-0.0001707728703628000000000;0.0000014727199786000000000;0.0001305670040623000000000;-0.0000333298628677000000000;0.0000502668407380000000000;0.0014434069410856000000000;0.0006528679417351000000000;0.0009630387507013000000000;0.0025897977871140000000000;0.0005828024995685000000000;0.0010351430468052000000000;0.0004870196150729000000000;-0.0000947476711405000000000;-0.0008116008716466000000000;-0.0008673517209618000000000;-0.0007159550060761000000000;-0.0009182148430186000000000;-0.0010212192855089000000000;-0.0006553661138578000000000;-0.0004191056640981000000000;-0.0001060963687365000000000;0.0004712791402244000000000;-0.0000247735030526000000000;-0.0000129082362079000000000;0.0005339818020693000000000;0.0002006235510595000000000;-0.0004475822018916000000000;0.0002457293965826000000000;0.0000030093642411000000000
