Row;Effect;pert;sdom;vp;millieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col34;Col35
24;ldhp*vp;;;MS6;;-0.028257138;0.000104927;8.30271E-07;-2.47684E-05;-1.56267E-05;0.000567595;0.00164107;0.00045547;0.001840253;0.000792078;-0.001070461;0.000347185;-0.000245111;-0.000343272;0.02731342;0.027274162;0.027667194;0.026952834;0.027365357;0.028719163;0.028036587;0.028421283;0.034212089;0.027929527;0.028248536;0.028211994;0.027772166;0.027237205;0.027753394;0.027991379;0.027910963;4.71831E-05;-1.92181E-05
25;ldhp*vp;;;RB1;;-0.027909979;0.000151259;1.07552E-06;0.000296989;-8.43774E-05;-0.000585221;0.001199977;-0.001096912;0.000997889;0.000353001;-0.000716914;0.000106251;-6.54653E-05;-7.23838E-05;0.027216994;0.027282784;0.027564082;0.026913228;0.027199579;0.027821328;0.027398996;0.02763537;0.027929527;0.034412597;0.027468129;0.027688813;0.027373463;0.02725262;0.027459604;0.027383834;0.027358533;7.44366E-05;5.12601E-07
26;ldhp*vp;;;RB5;;-0.028761347;-1.48759E-05;9.38081E-07;0.00061153;-0.00013738;0.001079154;0.002186104;0.001052839;0.002298186;0.001235068;0.000513745;0.000686169;-0.000917969;0.000184065;0.027331253;0.027420692;0.027520088;0.027111349;0.027558731;0.028439152;0.028427714;0.028852403;0.028248536;0.027468129;0.040358336;0.027634024;0.02797018;0.027399225;0.027622582;0.028396656;0.02815118;7.05846E-05;-2.47735E-05
27;ldhp*vp;;;RC3;;-0.027934899;0.000143676;-3.47798E-06;0.000417641;-0.000119558;0.000250923;0.001097347;-0.000288417;0.001242729;0.000443236;-0.000915946;9.63188E-05;-9.39978E-05;-0.000106498;0.02720416;0.027195694;0.02749745;0.02691289;0.027229452;0.028084945;0.027551548;0.027838754;0.028211994;0.027688813;0.027634024;0.047079621;0.027454511;0.027189509;0.027530356;0.02751256;0.02746405;3.06265E-05;-2.33145E-05
28;ldhp*vp;;;RE2;;-0.028250946;0.000117463;1.313E-06;-0.000367088;8.00673E-05;0.000447451;0.001592335;0.000237701;0.001770346;0.000432962;0.000293176;-6.92509E-05;3.27115E-05;8.19669E-05;0.02735468;0.027587871;0.027586044;0.027188305;0.027689683;0.027793073;0.027836367;0.02791039;0.027772166;0.027373463;0.02797018;0.027454511;0.038342424;0.027533405;0.027521447;0.027879347;0.027822139;6.10541E-05;7.94028E-06
29;ldhp*vp;;;RP1;;-0.027482094;-1.01266E-05;-4.22591E-06;0.000613304;-0.000127873;-0.001464382;0.001321884;-0.000674055;0.001202674;-0.000958603;0.000108802;-0.000156407;-1.52143E-05;1.89864E-06;0.027595357;0.02835036;0.027856361;0.027280235;0.027673259;0.027301409;0.027366353;0.027350724;0.027237205;0.02725262;0.027399225;0.027189509;0.027533405;0.035111398;0.027411016;0.027340812;0.027337081;2.10728E-05;-1.43406E-05
30;ldhp*vp;;;RS1;;-0.027708934;8.00688E-05;-3.43573E-06;0.000234693;-7.06332E-05;-0.000183474;0.001187835;-0.000433617;0.001208008;0.000228077;-0.000305094;-9.96106E-05;-8.16955E-05;-6.36366E-05;0.027265871;0.027421378;0.027512682;0.027044315;0.027420335;0.027729342;0.027539909;0.027664187;0.027753394;0.027459604;0.027622582;0.027530356;0.027521447;0.027411016;0.032204641;0.027535987;0.027470987;2.76716E-05;-4.97805E-05
31;ldhp*vp;;;RS2;;-0.029355946;4.15747E-05;1.30406E-06;-0.000162164;2.6129E-05;0.001759145;0.002918948;0.001747374;0.002998266;0.001967405;0.001440909;0.00130539;0.000920009;0.000770176;0.027276333;0.027379953;0.027474868;0.027114165;0.027588638;0.028069706;0.028103985;0.028496028;0.027991379;0.027383834;0.028396656;0.02751256;0.027879347;0.027340812;0.027535987;0.030275169;0.028006187;5.4956E-05;-2.75042E-05
32;ldhp*vp;;;RS3;;-0.028580844;0.000100125;5.48358E-06;-0.000317601;5.25997E-05;0.000872226;0.001961923;0.000889382;0.002061601;0.000932682;0.000512654;0.000396637;0.000179064;0.000190651;0.027265016;0.027401968;0.027481136;0.027102838;0.02756741;0.027942425;0.02793034;0.028115791;0.027910963;0.027358533;0.02815118;0.02746405;0.027822139;0.027337081;0.027470987;0.028006187;0.036969338;7.42016E-05;-1.85336E-06
34;ldhp*pert;INT;;;;-0.000119576;-5.08473E-06;2.43031E-06;3.02267E-05;-3.68349E-06;-1.47012E-05;-7.10114E-06;-5.40764E-05;-1.29375E-05;-2.28249E-05;-2.43067E-05;-9.44564E-07;-1.58398E-05;-3.76526E-06;2.25251E-07;2.76763E-05;3.79443E-05;1.55756E-05;2.92137E-05;3.95403E-05;4.73312E-05;7.08155E-05;4.71831E-05;7.44366E-05;7.05846E-05;3.06265E-05;6.10541E-05;2.10728E-05;2.76716E-05;5.4956E-05;7.42016E-05;0.000355179;2.23325E-05
35;ldhp*pert;MOY;;;;-1.30482E-05;-4.15788E-05;1.84885E-06;0.000162293;-3.14453E-05;3.29082E-05;3.25039E-05;3.30518E-05;1.90789E-05;1.24786E-05;9.71278E-06;-7.26537E-07;-6.64307E-06;-9.35142E-06;9.83677E-06;-4.39872E-06;-1.04096E-05;-3.56433E-06;-2.6237E-05;-2.24809E-05;-2.9484E-05;-3.90896E-05;-1.92181E-05;5.12601E-07;-2.47735E-05;-2.33145E-05;7.94028E-06;-1.43406E-05;-4.97805E-05;-2.75042E-05;-1.85336E-06;2.23325E-05;0.000206681
