row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5
1;ldhp;;;;;0.320622827;-0.094561613;0.001313401;-4.69542E-05;-0.026872158
2;ldhp2;;;;;-0.094561613;0.031230819;-0.000531706;1.27486E-05;0.00122751
3;ldhp*st;;;;;0.001313401;-0.000531706;3.25159E-05;-6.515E-07;0.000161424
4;ldhp*dens;;;;;-4.69542E-05;1.27486E-05;-6.515E-07;2.98912E-08;-7.01686E-07
5;ldhp*vp;;;MJ2;;-0.026872158;0.00122751;0.000161424;-7.01686E-07;0.056867443
