Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;191;2.81;0.0954
ldhp2;1;166;122.11;<.0001
ldhp*st;1;152;45.64;<.0001
ldhp*vp;2;77.7;7.04;0.0016
