"Model","Estimate"
0,714.904972154288
0,-175.303528865727
0,0.222376185606
0,-10.318409650012
1,721.422967094388
1,-202.796759188654
1,0.149156941167
1,6.462504979605
1,-17.532916210913
2,372.094845745198
2,0.141584905187
2,391.066915327972
3,248.105019497548
3,0.084829412094
3,0.185028612589
3,11.861504118376
3,304.383736474815
4,304.217817275778
4,0.087853275542
4,0.242254861969
4,8.597730850638
5,291.854119459423
5,0.094922799375
5,0.180236449194
5,10.077090818611
6,363.91019067865
6,0.133683077722
6,11.398334353014
6,-16.30066877647
7,303.64265118791
7,-230.49894688307
7,0.14211930057
7,0.23299694068
7,14.42224266414
