"Model","Estimate"
0,6343.00374887017
0,-4583.06381824859
0,3587.9955775338
0,0.036798574081
0,-0.215175221375
0,0.002038198162
0,-48.45480120941
0,-7.391412837935
0,0.015182559519
0,22.682919217239
1,6877.14446787058
1,-4881.82014035728
1,3915.69817433919
1,0.042477562434
1,-0.238148720858
1,0.002175223797
1,-18.969590304495
1,-20.62207569466
1,0.001584841023
1,7.00907871155
1,-38.550857794691
1,-5.718219154418
1,0.019949742027
1,0.304367575415
1,20.782448667502
2,181.635234488212
2,-0.346252098552
2,0.004943072525
2,629.873326343993
2,0.912229389173
2,47939.098828203
3,987.067854733123
3,-0.413576890061
3,0.000298197434
3,-0.281094940794
3,-8.0925265e-05
3,0.004295339566
3,-65.070081946269
3,0.005069904279
3,0.015652629308
3,9.816303653561
3,411.691708401837
3,-0.126499012321
3,0.016943887542
3,-36.090188381968
3,19334.707658284
4,1716.62827423999
4,-0.752078337396
4,0.000549059128
4,-0.363817649412
4,-0.000144011848
4,0.006378958785
4,-107.11316643961
4,0.008167975723
4,0.018044895508
4,16.454164704336
5,1749.95925082604
5,-0.772572651554
5,0.000573725178
5,-0.325531258241
5,-0.000127973191
5,0.005983738872
5,-112.292191960937
5,0.005104822172
5,0.007062853204
5,19.742465903066
6,3819.28634217352
6,-1.920279309686
6,0.001667355808
6,-153.629882997904
6,-0.007217623083
6,27.757282101312
6,-49.112535785535
6,-0.088169074108
6,4.500054540266
6,57.02700916072
7,14589.3663956841
7,-10396.7162246715
7,10141.5031504123
7,-0.101352257284
7,-1.878045732904
7,0.001903983588
7,-1.035994472108
7,0.626059662618
7,-0.000447765706
7,0.010377494432
7,-139.252119799258
7,-22.535639085572
7,0.006683788802
7,0.009948897336
7,27.541988402332
