RealID;Mean1;Var1;Mean2;Var2;Mean3;Var3;Mean4;Var4;Mean5;Var5
1;345.23303062584523;7789.76600459843;1549.4226373757697;65546.8264458105;1806.8013666930372;25795.47956214897;80.61791096796883;183.4965188943954;3745.2994186521305;122260.92225829387
2;344.1849422312508;3226.8778038185446;1533.4217236102909;42388.827742400565;1805.8077762142666;21632.16440738589;84.44381828964947;86.65230372779774;3808.3329171174673;137375.9994018874
3;296.58160510857044;9707.083146837806;1553.973771573435;32553.039285470484;1762.7888688043408;26642.766238672888;88.54004100485827;92.81927799771387;3885.722077832244;163820.18767251616
4;306.0679365231215;5927.14431368005;1525.9350083645065;33018.69304103986;1767.1208551291686;24113.186873062965;91.37639776705743;77.40682945154913;3865.798708489122;155110.33734239542
5;284.0991176310661;7497.443703762232;1560.3792683721306;34044.66367918198;1772.3233317464685;22922.051047717287;97.22325074751492;210.68608134240355;3859.5149409819337;144983.40166391394
6;305.8878355334948;8121.978392530873;1539.552135814586;30870.479581397325;1798.4086722295938;26261.006799945513;101.49063311596126;204.32774415323075;3906.177250262307;153925.73521716028
7;296.26864057138715;7568.66052324633;1505.6046473561016;36147.945308979164;1804.394016341773;25812.218689477966;105.42993932755297;245.67531698433126;3918.7490778446813;156968.41087036286
8;300.6296897571256;6034.775068183228;1502.7089431549844;33126.553634716896;1802.7353620981653;26256.487433976698;111.40186561923879;502.4587561575968;3864.992961088363;169857.83849644332
9;314.5118765271359;5810.282183277856;1510.396266347757;31264.87852440118;1819.359070620767;28919.586492325136;114.8723480231933;501.9767347392218;3885.4345984373235;171266.99067264452
10;310.1551943615072;4972.861412448308;1497.7171228171026;29301.940125237823;1813.464823011612;28226.589228080695;112.81282740819275;464.9176764606057;3896.474842655478;168270.90775204884
11;311.2832236845356;3755.5760341565283;1498.919744066116;27718.511082832807;1806.7339213875596;27648.922802852998;112.97220179539563;414.6473188920171;3891.682510373483;164738.0467023108
12;308.812144809769;3295.489767684036;1488.556999511617;27196.757590983114;1802.5584416630777;27213.290348001785;112.21460463368882;364.6848813502091;3880.0944745861266;164341.6479424145
13;322.13034938268606;5050.416225876612;1488.5964983515298;24923.813916820563;1799.9849676091876;26353.485510624992;110.70539004976354;351.2884115582136;3895.9335657742017;169276.85071146075
14;319.87574452917846;4257.874227672429;1488.0046101588355;23661.484745152396;1803.941831362132;26143.560371124884;111.06548550528055;291.20154344849766;3882.270100476706;168994.0389949922
15;311.4877433708135;4865.723849211075;1483.976125570663;23167.904029504884;1794.3435765062522;26756.11532467143;111.33007878246025;252.42973021930436;3900.790667314662;173860.5300322649
