Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;4165;18.43;<.0001
ldhp2;1;13E3;1387.91;<.0001
ldhp*st;1;14E3;191.39;<.0001
ldhp*rdhp;1;14E3;423.07;<.0001
ldhp*Tmoy;1;1851;73.42;<.0001
ldhp*vp;9;2332;16.05;<.0001
ldhp*sdom;6;1879;6.89;<.0001
