Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;2593;15.98;<.0001
ldhp2;1;7211;1207.61;<.0001
ldhp*st;1;7454;84.13;<.0001
ldhp*stgt;1;6373;0.00;0.9684
ldhp2*stgt;1;6359;20.22;<.0001
ldhp*sdom;10;1813;9.54;<.0001
ldhp*vp;13;1797;6.28;<.0001
ldhp*Ptot;1;1831;21.49;<.0001
ldhp*milieu;6;1739;4.13;0.0004
ldhp*pert;2;5400;6.80;0.0011
