row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col39;Col40
27;ldhp*vp;;;RE3;;-0.063823807;8.05569E-05;-1.24247E-06;1.26395E-05;-3.06944E-06;0.002668739;-4.52509E-05;-1.39422E-05;-0.00047315;-0.000984503;0.000171716;-0.000379455;-0.000190324;-9.07391E-05;0.001002993;0.001397389;0.001867352;0.001682614;0.001500194;0.001828702;0.003373145;0.001433075;0.001746771;0.001340624;0.001794206;0.074597784;0.001537901;0.001638021;1.20726E-06;0.061000316;0.060943211;0.060809594;0.060776056;0.060317018;0.061100261;7.74039E-05;-1.24098E-06
28;ldhp*vp;;;RP1;;-3.39551E-05;-0.000112802;5.98892E-07;-5.39597E-07;-3.56624E-06;-0.003188162;-0.00062497;-0.002303963;-0.001018546;-0.002424646;-0.000433831;-0.000676656;-0.000235266;-0.000280549;0.000679436;0.003282215;0.002652013;0.003391951;0.001031447;0.002589096;0.002850431;0.001677151;0.00180822;0.001690589;0.001752906;0.001537901;0.014077576;0.002272707;-5.62383E-07;-0.000350001;-0.000368059;-0.000199668;-0.000253499;4.35959E-05;5.05151E-05;-5.58112E-05;1.11439E-07
29;ldhp*vp;;;RS1;;-0.000167411;-2.40293E-05;-7.49294E-06;-1.07642E-05;3.02264E-06;-0.00142211;-0.000555706;-0.001728066;-0.00113589;-0.001048807;-0.000999104;-0.000573594;-0.000333437;-0.00033004;0.000653356;0.002391896;0.002279743;0.002402357;0.001337879;0.002368327;0.002201095;0.002093748;0.00181589;0.002087634;0.001606487;0.001638021;0.002272707;0.010550168;-7.71584E-07;2.55481E-06;0.000275748;1.6086E-05;-0.000274698;-0.000517325;-0.000136649;-2.87759E-05;-9.33986E-06
31;ldhp*Ptot;;;;;-4.16142E-05;1.22384E-07;-1.39545E-08;1.53865E-08;-2.15322E-09;7.59997E-07;-7.36218E-06;-2.41596E-06;-7.48642E-06;-2.2402E-06;-5.10493E-06;-2.13825E-06;-8.1805E-06;-9.79091E-07;-3.35097E-06;-2.3789E-06;-2.56467E-06;-1.6916E-06;-7.62027E-08;-9.76214E-07;-5.47049E-07;-1.54519E-06;-1.48066E-07;-1.39418E-06;1.15415E-07;1.20726E-06;-5.62383E-07;-7.71584E-07;4.3429E-08;1.54103E-06;1.61473E-06;8.11922E-07;1.49299E-06;3.82107E-07;2.38251E-06;-5.12681E-08;3.65067E-08
32;ldhp*milieu;;;;0;-0.064626373;1.28342E-05;7.64894E-07;9.31367E-06;-3.91415E-06;0.002807973;0.000807824;-5.30743E-05;-0.000612441;-0.001057578;0.000147118;-0.000551035;-0.000461749;-0.000118199;-0.000331223;-0.000476242;0.00015302;-0.000565684;0.000219506;0.00030147;0.001780119;-5.65008E-05;0.000260124;-0.000319775;0.000226571;0.061000316;-0.000350001;2.55481E-06;1.54103E-06;0.066474959;0.062955093;0.062968956;0.062859452;0.06231631;0.063048545;0.000108379;-2.32202E-05
33;ldhp*milieu;;;;1;-0.064559772;2.2978E-05;-1.68556E-06;-5.612E-06;8.06296E-07;0.002406496;0.000788496;-0.000349886;-0.000652821;-0.001126353;-6.97801E-05;-0.000611511;-0.000578166;-0.000224612;-7.57036E-05;-0.000186914;0.000384559;0.000243941;0.000173186;0.000300294;0.001931784;-0.000101822;0.000292909;-0.000284846;-1.17158E-05;0.060943211;-0.000368059;0.000275748;1.61473E-06;0.062955093;0.065121503;0.062903934;0.062835043;0.062247125;0.063006904;9.6799E-05;-3.02649E-05
34;ldhp*milieu;;;;2;-0.063619373;-2.22701E-05;-1.41882E-06;-3.42534E-06;-4.76329E-07;0.002821931;0.000998647;5.19786E-05;-0.000492239;-0.000930399;4.40363E-05;-0.000567955;-0.000280934;-0.000123783;-0.000398446;-0.000582841;-4.18203E-07;-0.000239951;1.07175E-05;-2.33913E-06;0.001644808;-0.000287778;4.18635E-05;-0.000327389;0.000215783;0.060809594;-0.000199668;1.6086E-05;8.11922E-07;0.062968956;0.062903934;0.063367023;0.062936101;0.062318209;0.063047444;8.19041E-05;-3.81203E-05
35;ldhp*milieu;;;;3;-0.064405831;-2.41222E-05;-2.16848E-06;-9.32035E-08;-1.99078E-06;0.003153858;0.001064213;0.000474782;-0.000251531;-0.000470695;1.99696E-05;-0.000165648;-0.00022634;-7.19503E-06;7.66687E-05;-0.000633684;4.56304E-06;-0.000161722;-0.000685299;-7.64177E-05;0.001561897;-0.000316007;-9.03476E-05;-0.000258792;0.000355917;0.060776056;-0.000253499;-0.000274698;1.49299E-06;0.062859452;0.062835043;0.062936101;0.065773025;0.062284647;0.063197622;9.3983E-05;-9.37818E-06
36;ldhp*milieu;;;;5;-0.062734215;-3.28141E-05;1.39721E-06;-3.02349E-06;-5.4719E-07;0.002741948;0.000387225;0.000353261;-0.000506341;-0.000768334;0.000220263;-0.000318398;-6.17119E-06;4.46142E-05;6.64129E-05;-0.000179344;0.000319223;0.000161341;0.000105672;6.687E-05;0.001603982;-0.000261854;9.89391E-05;-0.000118471;2.14087E-05;0.060317018;4.35959E-05;-0.000517325;3.82107E-07;0.06231631;0.062247125;0.062318209;0.062284647;0.064165998;0.062393722;0.000103269;-2.99116E-05
37;ldhp*milieu;;;;6;-0.065910562;-3.91463E-05;4.80796E-07;-8.75834E-06;8.14199E-07;0.00354127;0.001439403;0.000407124;-4.01036E-05;-0.000255851;0.000658784;0.000135094;0.000396485;0.000270949;0.000529864;-0.000296154;0.000197041;0.000100459;-0.00247615;0.000291319;0.001810344;-0.000111513;-1.07054E-05;-0.000137923;0.000473827;0.061100261;5.05151E-05;-0.000136649;2.38251E-06;0.063048545;0.063006904;0.063047444;0.063197622;0.062393722;0.067330638;7.68133E-05;-4.02181E-06
39;ldhp*pert;INT;;;;3.05921E-05;-6.30282E-05;4.01547E-06;-6.30478E-06;1.87991E-06;-1.31761E-05;1.88828E-05;-0.00013048;-5.73077E-06;2.61034E-05;8.95867E-06;2.014E-05;8.9369E-06;2.2682E-05;5.18807E-05;4.20934E-05;-1.20295E-06;3.63133E-05;5.1963E-05;-2.68745E-05;-1.13245E-05;-5.83322E-05;-6.65803E-06;-1.88583E-05;9.15398E-06;7.74039E-05;-5.58112E-05;-2.87759E-05;-5.12681E-08;0.000108379;9.6799E-05;8.19041E-05;9.3983E-05;0.000103269;7.68133E-05;0.000689919;3.89214E-05
40;ldhp*pert;MOY;;;;0.000222962;-0.000108833;4.22781E-06;-9.52963E-06;2.17112E-06;1.5762E-05;2.09755E-05;1.55301E-05;-3.75893E-06;4.23384E-06;-1.88864E-05;-4.37543E-06;-1.17842E-05;-8.05128E-06;1.41379E-05;2.90771E-05;3.43367E-05;2.82823E-05;-3.28413E-05;1.96466E-05;-1.41217E-05;2.41502E-06;-5.9305E-06;2.08691E-05;1.38167E-05;-1.24098E-06;1.11439E-07;-9.33986E-06;3.65067E-08;-2.32202E-05;-3.02649E-05;-3.81203E-05;-9.37818E-06;-2.99116E-05;-4.02181E-06;3.89214E-05;0.000619263
