ModelID;ParameterEstimate
1;-2.6347937794734
1;-2.4156391102457
1;-2.3068753999082
1;-2.2541531239281
1;-2.340312978107
1;-2.2859575963046
1;-3.0655649409327
1;-3.1875265991844
1;-2.9804864100626
1;-2.5795366533601
1;0.03791066268038
1;0.02781261231835
1;0.02304629762392
1;0.01746768616953
1;0.03701326725319
2;-2.4177272793839
2;-2.4024814738466
2;-2.2671187056628
2;-2.2462619841136
2;-2.278278329077
2;-2.250330042791
2;-3.2130628079168
2;-3.2091906113107
2;-2.5607634629647
2;-2.7619658230555
2;0.32156877984724
2;0
2;-0.2386720442147
2;0
2;-0.2527480543306
2;0
2;0.12198853245167
2;0
2;0.30275592904161
2;0
2;-0.2138557099133
2;0
2;-0.0590430305803
2;0
2;-0.0734445755154
2;0
2;0.12660513394468
2;0
2;-0.3354233339373
2;0
2;0.03745288281247
2;0.02810408898525
2;0.02326954539131
2;0.01774361820994
2;0.03608913339182
3;-2.3625482760584
3;-2.4386505142701
3;-2.4160901073225
3;-2.4265154481686
3;-2.3153755049683
3;-2.2392180773828
3;-2.3201975562368
3;-2.3998407297975
3;-2.5711811409256
3;-2.3589741342234
3;-2.3186727900616
3;-2.5541205868668
3;-2.9169918569517
3;-3.2668957184195
3;-3.1717968332537
3;-3.2580840759813
3;-2.5658967260699
3;-2.6121826153689
3;-2.6020062178354
3;-2.3224763764178
3;-0.2094800961825
3;0
3;-0.0600289230413
3;0
3;-0.0887114642035
3;0
3;0.10814553427957
3;0
3;-0.3588409266009
3;0
3;0.03725377456908
3;0.02917582253273
3;0.02653491512303
3;0.01778707026754
3;0.03449730074618
4;-2.3462792819684
4;-2.4591991571103
4;-2.4034765806615
4;-2.4781772455486
4;-2.2401533967395
4;-2.3345069741227
4;-2.2773312565128
4;-2.248789582988
4;-2.299421798857
4;-2.3909293806377
4;-2.2604209495633
4;-2.3636566392772
4;-3.1732769491209
4;-3.1761080032715
4;-3.2056193359693
4;-3.2443361185898
4;-2.5697680599146
4;-2.3691613138307
4;-2.6840567184848
4;-2.4125919854535
4;-0.2262323278706
4;0
4;-0.0566788507232
4;0
4;-0.0904322325878
4;0
4;0.12850734341141
4;0
4;-0.3478700036001
4;0
4;0.03793995546677
4;0.02829583639539
4;0.02465206772724
4;0.01753085817511
4;0.03374821186669
