row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12
1;ldhp;;;;;0.0744097848787500000000000;-0.0365629319373349000000000;0.0003067452849929000000000;0.0244556631077083000000000;-0.0017523657789161000000000;-0.0045094679387510000000000;-0.0022136325905025000000000;-0.0036127313042484000000000;-0.0049263833623372000000000;-0.0054991720943246000000000;-0.0050058949070626000000000;-0.0049456494232355000000000
2;ldhp2;;;;;-0.0365629319373349000000000;0.0208206757760186000000000;-0.0001821200913819000000000;-0.0162717660112039000000000;-0.0022554837252995000000000;-0.0004335532659372000000000;-0.0018679925408617000000000;-0.0010909454489789000000000;-0.0003738548296505000000000;-0.0001923716792904000000000;-0.0002639396670350000000000;-0.0005014185262340000000000
3;ldhp*st;;;;;0.0003067452849929000000000;-0.0001821200913819000000000;0.0000058339923412000000000;0.0001158053931380000000000;-0.0000059186073436000000000;-0.0000272936524540000000000;-0.0000059753948791000000000;-0.0000374632934023000000000;-0.0000172614042992000000000;-0.0000356169352212000000000;-0.0000144402591887000000000;-0.0000055504632672000000000
4;ldhp*rdhp;;;;;0.0244556631077083000000000;-0.0162717660112039000000000;0.0001158053931380000000000;0.0168523118549695000000000;0.0019946818475536000000000;0.0002026283458617000000000;0.0014541522859409000000000;0.0011058683277160000000000;0.0003541291663956000000000;0.0006061328966477000000000;0.0001262851040383000000000;0.0005865893723352000000000
5;ldhp*sdom;;2EST;;;-0.0017523657789161000000000;-0.0022554837252995000000000;-0.0000059186073436000000000;0.0019946818475536000000000;0.0118539553514464000000000;0.0059455248631639000000000;0.0060512138941026000000000;0.0061182423205283000000000;0.0058799917310113000000000;0.0059669470396238000000000;0.0058430769348152000000000;0.0058333241600518000000000
6;ldhp*sdom;;3EST;;;-0.0045094679387510000000000;-0.0004335532659372000000000;-0.0000272936524540000000000;0.0002026283458617000000000;0.0059455248631639000000000;0.0164694208372100000000000;0.0059310894438056000000000;0.0060871828701581000000000;0.0058803395826582000000000;0.0059754022334728000000000;0.0058601765042934000000000;0.0057887573859780000000000
7;ldhp*sdom;;3OUEST;;;-0.0022136325905025000000000;-0.0018679925408617000000000;-0.0000059753948791000000000;0.0014541522859409000000000;0.0060512138941026000000000;0.0059310894438056000000000;0.0193531880334253000000000;0.0060632254641205000000000;0.0058605304257562000000000;0.0059219015435539000000000;0.0058350952453360000000000;0.0058089419794314000000000
8;ldhp*sdom;;4EST;;;-0.0036127313042484000000000;-0.0010909454489789000000000;-0.0000374632934023000000000;0.0011058683277160000000000;0.0061182423205283000000000;0.0060871828701581000000000;0.0060632254641205000000000;0.0117489021836301000000000;0.0059643621492495000000000;0.0061377418063569000000000;0.0059178911599618000000000;0.0058515705701045000000000
9;ldhp*sdom;;4OUEST;;;-0.0049263833623372000000000;-0.0003738548296505000000000;-0.0000172614042992000000000;0.0003541291663956000000000;0.0058799917310113000000000;0.0058803395826582000000000;0.0058605304257562000000000;0.0059643621492495000000000;0.0108089792689083000000000;0.0058968303473024000000000;0.0058054428358733000000000;0.0057714134049521000000000
10;ldhp*sdom;;5EST;;;-0.0054991720943246000000000;-0.0001923716792904000000000;-0.0000356169352212000000000;0.0006061328966477000000000;0.0059669470396238000000000;0.0059754022334728000000000;0.0059219015435539000000000;0.0061377418063569000000000;0.0058968303473024000000000;0.0183005728442005000000000;0.0058559168878638000000000;0.0058159799241881000000000
11;ldhp*sdom;;5OUEST;;;-0.0050058949070626000000000;-0.0002639396670350000000000;-0.0000144402591887000000000;0.0001262851040383000000000;0.0058430769348152000000000;0.0058601765042934000000000;0.0058350952453360000000000;0.0059178911599618000000000;0.0058054428358733000000000;0.0058559168878638000000000;0.0084047667997213000000000;0.0057559536284868000000000
12;ldhp*sdom;;6EST;;;-0.0049456494232355000000000;-0.0005014185262340000000000;-0.0000055504632672000000000;0.0005865893723352000000000;0.0058333241600518000000000;0.0057887573859780000000000;0.0058089419794314000000000;0.0058515705701045000000000;0.0057714134049521000000000;0.0058159799241881000000000;0.0057559536284868000000000;0.0213833056194878000000000
