ModelID;ParameterEstimate
1;0.07750416909964
1;-0.0042533821234
1;0.14278509169585
1;0.00035588602079
1;-0.0036324954696
1;0.23839813620016
1;-0.023577281562
1;-0.0132843887164
1;-0.0381003616339
1;0.23813022251974
1;0.06164178140696
1;0.00072548800069
1;-0.0557017294857
1;0.03398986883832
1;0.29629068712533
2;0.07649300430508
2;-0.0021270150403
2;0.14224295500513
2;-0.0004573424248
2;-0.0015795403342
2;0.2356978256182
2;-0.0195815939735
2;-0.0131369710572
2;-0.0383627742654
2;0.23935570220358
2;0.05184564769917
2;0.00205266790478
2;-0.0516873887525
2;0.02685765498834
2;0.27619573609837
3;0.07728980809866
3;-0.000217245989
3;0.14094770015904
3;-0.0055825218272
3;0.00310022390011
3;0.22967384273503
3;-0.0325913974348
3;-0.0137480599005
3;-0.0363387292904
3;0.23342218693025
3;0.05076937852089
3;0.00470594728034
3;-0.0450471760888
3;0.03056181919988
3;0.27870104446678
4;0.07540702313906
4;-0.0023603981879
4;0.14241192181027
4;0.00621240867178
4;-0.0034815590282
4;0.23712969935343
4;-0.020997373383
4;-0.0127302490822
4;-0.0385063497079
4;0.24088508858738
4;0.04744162750038
4;0.00148740162407
4;-0.0517912757457
4;0.03435918716279
4;0.2837983843499
