"sp","Estimate"
1,0.0700445152167163
1,-0.00420098104658603
1,0.000723508732042439
1,-5.81221026443323e-05
1,-6.90080101756106e-07
1,1.40069132937023e-07
1,-0.000349032537480038
1,-5.77157916441325e-06
1,8.63356605432352e-08
1,1.65485930280578e-05
1,-0.0110963992904278
1,0.000112551172427778
1,4.31494901243789e-07
1,-2.26277292302453e-05
1,0.0159031461644613
1,-0.000592389587208301
1,8.65457118012034e-05
1,5.3891928421191e-07
1,-9.21452903379062e-06
1,-0.00145301706541532
1,0.000789308105390087
1,2.6644822491008e-05
1,-2.81183285374505e-06
1,-2.34753585218429e-08
1,7.0845760073879e-08
1,6.82125898470925e-05
1,-4.22508884419921e-05
1,2.61516681301074e-06
2,0.0551868652588157
3,10.1755005111921
3,-0.00507017508226385
3,0.00198652062460833
3,0.677792749559856
3,0.000734545822655429
3,0.0463175943453936
3,0.0110110525339462
3,1.5183892376936e-05
3,0.000761616136679474
3,1.26255811929668e-05
4,0.592277168425849
5,0.0448386144366947
5,-0.00147020397545649
5,0.000356899961402284
5,-5.75979841451661e-06
5,-3.02006911965516e-07
5,1.49616296916538e-08
5,-0.00259246207780805
5,-2.99191925178532e-05
5,-3.87140442633585e-08
5,0.000235836212321515
5,4.49285620071147e-05
5,4.51155174340337e-07
5,2.03084916826894e-09
5,-4.40368048182581e-06
5,8.90147912577115e-08
5,0.000421211261529552
5,0.000180777035045228
5,-1.10381405604528e-06
5,-0.000127846403097777
5,1.05533125774563e-06
5,0.00704619603638097
5,-0.00297218912572953
5,0.000167506427806495
5,-2.8188332627272e-06
5,0.000169241028264659
5,-2.79329499902632e-06
5,0.000531470509043944
5,0.0108883040984291
6,0.191446126269467
6,-0.00854178768993155
6,0.00213235392209537
6,-0.00316763558829192
6,-0.000158077146706553
6,0.000197068895685446
6,-0.087600075749417
6,-0.000461049239030522
6,0.000544707284064585
6,0.0895260978180804
6,-0.00330155448178201
6,0.00163177347352079
6,-0.000466095068443393
6,-0.00640868450302134
6,0.112913639467863
7,0.0536225858815714
7,-0.000817708122278977
7,5.43497464800646e-05
7,-0.0370634020960545
7,-0.000282913745278544
7,0.0479918943801623
8,0.0745134774729553
8,-6.58991041970943e-05
8,9.58382356209977e-08
8,-0.00814007610186841
8,7.75330503116956e-07
8,0.00406654282586941
8,0.000378836482768552
8,6.37266012112722e-08
8,-0.00027603130262909
8,2.19835008923263e-05
8,-0.0155069727071611
8,5.39818377932176e-06
8,0.000348615453514371
8,-4.29107748433358e-05
8,0.0515389841829211
9,0.0265887495021947
10,0.394666108428734
10,-0.0219880482020872
10,0.00158274876554189
11,0.0898564685483872
12,0.284657148800631
12,-0.284657148800631
12,0.34656240952315
13,0.360831165685397
14,0.083785005307878
14,-0.0837850053078778
14,0.103255498913357
15,5.65398539726651
15,-0.00323346279384306
15,0.000185626474168319
15,0.0213811640782139
15,-0.000179519611392058
15,0.00174326523088228
15,0.148443956781271
15,4.02418938887176e-06
15,0.000566935743736746
15,0.00395553076885113
16,0.0279833358755559
16,-0.000284515253337466
16,7.59005649747294e-05
16,-0.000204355042658604
16,5.75618428014656e-06
16,1.82650667316059e-05
16,4.05859041681033e-05
16,1.16332387880107e-05
16,-7.33015072304231e-06
16,0.000173887522053888
16,2.03040845242714e-06
16,-2.5504194678472e-07
16,-1.24138945254028e-07
16,-5.35408792012974e-06
16,1.93707931792406e-07
16,-0.0245282277083753
16,-4.2152963364918e-05
16,-3.79947196535699e-05
16,-0.000730252027874753
16,2.0421966277394e-05
16,0.0302931394720194
17,0.0402342378042802
17,-0.00163554722135737
17,0.00167538504727587
17,-0.00545001070448387
17,-0.000143593232014153
17,0.00183054485331441
17,0.000146909616718062
17,3.15488253587254e-06
17,-3.22483976721198e-05
17,1.46811161205778e-06
17,0.00020080155513631
17,0.000104752140046653
17,-0.000897360737735232
17,-7.88440879981578e-06
17,0.00116980625522923
18,0.153144139520463
18,-0.0193052552842869
18,0.00326304144202527
18,-0.000865448217917901
18,-0.000475605726559476
18,0.00295200247434388
18,0.00195922476600426
18,-0.000161228529082263
18,-0.0026659027173962
18,0.00288235407726565
19,35.8452971223385
19,0.00149640269905925
19,0.000199546358035172
19,-1.08435253176708
19,-0.000106163683421511
19,0.0351654283956433
19,-0.0071788128004312
19,-1.25284808916403e-05
19,-0.000173795825274481
19,6.92822718538023e-05
20,0.0778905546928576
21,0.180332951055299
22,0.043860341047977
22,-0.00113799173850988
22,0.00118252102634514
22,1.15383592046006e-05
22,-2.68172445576283e-05
22,1.55378149637579e-06
22,-0.00120930278471757
22,-5.69239449368516e-05
22,2.07618002074899e-06
22,0.000652925335515512
22,3.93092925599377e-05
22,2.98406708363658e-06
22,-8.55277098390442e-08
22,-2.64135419955144e-05
22,1.26314773574884e-06
22,-0.0375875545773659
22,-0.00164963408482957
22,8.95182713225329e-05
22,-0.000310348280100941
22,7.35639041595013e-07
22,0.0560332100637804
22,0.000786174022317275
22,-0.000557181556768659
22,-8.67764303995995e-06
22,2.58251333268837e-05
22,-7.99853204608575e-07
22,-0.0012275336494614
22,0.000852412536413151
23,0.251862585895721
24,0.0332113570959011
25,0.247625330185348
26,0.104287581989189
27,0.055739068939308
27,-0.0045958422669181
27,0.000726411716129898
27,7.16642725299401e-05
27,-1.36974901958712e-05
27,2.8758114302028e-07
28,0.0782390099604511
29,0.113879622517913
30,0.064916142846484
30,-0.0188289124678531
30,0.0101053326332752
