"sp","Estimate"
1,-0.924948694467268
1,0.0943554979926499
1,0.00106379715729145
1,-0.0229482702558159
1,0.876976662124457
1,0.155485443023448
1,-0.00710870997275134
2,-0.619039208406223
3,-14.2821264083843
3,0.211292635698034
3,-0.834090026583881
3,-0.0133341351567259
4,-4.27211298361497e-17
5,0.428941610267208
5,0.141233067711156
5,0.000799137451229065
5,-0.0994182654586824
5,0.00133679170198936
5,0.37938584125055
5,-0.518934173934755
6,-0.732206947210644
6,0.170333972594823
6,-0.0641153195507285
6,1.4762033357342
6,-1.26684844351028
7,-0.0487536473952252
7,-0.0507983618134935
7,1.04827273270101
8,-2.46194888747852
8,0.00198546470992197
8,0.256789383743836
8,-0.0140170944128373
8,0.59084054424684
9,-0.252702353555755
10,1.24139409680002
10,-0.110498041099162
11,0.27443684570176
12,-1.09861228866811
12,1.4395388756387
13,-1.6094379124341
14,-2.10787947700036
14,1.16173578197652
15,-5.25585448136129
15,-0.0646991294367476
15,0.10899088434176
15,-0.145064852678701
16,0.503512981520864
16,-0.10950864077563
16,-0.0424682135123451
16,0.0607316990423318
16,-0.00147136194848391
16,0.979538206061975
17,2.00224195379961
17,-0.220675137956695
17,-0.12274945493558
17,-0.00444067529958508
17,0.176592944363783
18,2.65994920646691
18,0.168422092270782
18,-0.41324533467111
18,0.288374594255136
19,19.4674165447989
19,-0.0508551972655348
19,-0.735162678948191
19,0.0292056120589965
20,-0.270290329739912
21,-0.538996500732687
22,1.40470724091512
22,-0.0837667420628569
22,-0.0051094381315451
22,-0.228004535653314
22,0.00372307782036623
22,1.15800067197873
22,0.127163281030659
23,-0.980829253011726
24,-0.711839313572098
25,-1.09861228866811
26,-0.379489621704904
27,-0.364541620553032
27,0.123358302483986
27,-0.00216436404016388
28,-1.00063188030791
29,-1.43074612369072
30,-1.21046284041091
30,0.50332637984067
