"sp","dispersion"
1,1.09502687005019
2,1.15681001028319
3,1.59743356528225
4,0.684428250939624
5,1.56052424327055
6,1.0128387263036
7,1.74829416211418
8,1.48971526392849
9,1.24345304843688
10,1.82920929624755
11,0.54504472038598
12,1.49760255045317
13,1.2534924630309
14,1.77613403090662
15,1.10126456352756
16,1.79332338511378
17,1.13266736825905
18,0.418673069237666
19,0.838383683081689
20,1.15407331199188
21,0.835421410729373
22,0.951376795026018
23,1.69532968910474
24,0.759730431688206
25,0.702355918909897
26,1.16758061996851
27,1.15140398337098
28,2.62517882318303
29,0.77941296815884
30,1.25893959962987
