Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;525;25.55;<.0001
ldhp2;1;545;180.59;<.0001
ldhp*st;1;554;9.03;0.0028
ldhp*rdhp;1;532;43.33;<.0001
ldhp*milieu;2;165;8.01;0.0005
ldhp*pert;1;416;5.87;0.0158
