"sp","parmEst"
1,2.66682576322911
1,-0.0021821544848322
1,0.000298033618085954
1,-0.000899782642912141
1,1.51718580695419e-08
1,3.07215704027789e-07
1,-0.00170597119964653
1,-0.000335546336760123
1,5.08949810651495e-07
1,0.00230168583256072
2,0.225911940441652
2,-0.00240481312305593
2,0.000250385325838797
2,-5.20161204281483e-05
2,2.11538066003711e-07
2,1.851993748646e-08
2,-6.72690912278472e-05
2,1.03464139148599e-07
2,5.90579161152953e-09
2,4.89976315922703e-08
2,-0.000193997326370941
2,9.11718529709758e-07
2,-1.85643695913341e-08
2,3.26851746882571e-09
2,1.48432281938161e-05
2,0.000315859355546925
2,-3.11285071804206e-05
2,-1.04468992123142e-07
2,-7.95010011952954e-08
2,-4.04054527125104e-07
2,1.1826708459446e-05
3,135.42600835142
3,0.00482635619346096
3,5.97888076468961e-05
3,0.00883074698227082
3,3.77499368288347e-07
3,5.85065300702208e-07
3,-20.1050340163304
3,-0.00081060845421121
3,-0.0013146665941172
3,2.98669934685987
3,-0.000195015320266646
3,1.09511707191621e-07
3,-7.04266183113229e-09
3,2.51760528809491e-05
3,1.63486996051368e-08
3,-0.0175017571559113
3,1.72521524662175e-06
3,-6.32411583029018e-07
3,0.00232628243636215
3,-2.03225688136945e-07
3,0.000506971864850854
3,0.00145890373835007
3,-1.41426018148289e-06
3,5.78352161948107e-08
3,-0.000200609087131352
3,1.30680238491183e-08
3,-7.20014485929882e-06
3,1.30837311655722e-05
3,-6.79694081655618e-05
3,3.72796328192036e-08
3,-3.52885153837393e-09
3,1.0148278437975e-05
3,-6.40264551507368e-10
3,1.2367466482911e-07
3,-1.55573399008925e-07
3,4.48307656419899e-09
3,0.00774809818819042
3,2.49575339461715e-06
3,4.81650973743211e-07
3,-0.00139371953150857
3,-3.4824301920329e-08
3,-4.81310504131981e-06
3,-1.19788874381831e-05
3,-5.73450452641783e-07
3,0.000406326294862107
3,0.00302966374197875
3,4.24586796059615e-07
3,2.39720683065671e-07
3,-0.000467188333408612
3,7.88207406331187e-08
3,-1.15943520879283e-05
3,-3.74476446319898e-06
3,1.04400781000042e-08
3,-6.73143073848909e-06
3,2.17858097642195e-05
3,-0.00224966307695579
3,-6.96697363933073e-06
3,-1.8074219487797e-07
3,0.00034770724930362
3,-4.13194796714971e-08
3,-6.14360423774925e-07
3,1.55216411016803e-08
3,-4.60916407287478e-09
3,1.3885707045095e-06
3,-3.99745144378729e-07
3,3.00254841829778e-06
4,0.039583318124586
4,-0.00269707100691493
4,0.000320988679722212
5,0.246835046357538
5,-0.0187938363291956
5,0.00169825013191867
5,-0.00180442167207286
5,-1.70172619289148e-05
5,0.000135632227525627
6,0.115910596678987
6,-0.00196286387048887
6,0.00016549392335192
6,0.0025915909975997
6,-4.90048735429389e-06
6,7.3446173848045e-05
6,-1.73363205201991e-05
6,-5.19988794312418e-07
6,2.63230745114882e-06
6,9.41171815450062e-06
6,-0.000144324680694988
6,-2.18587800848786e-06
6,3.71988913690314e-07
6,-8.69672023535632e-07
6,1.73279716585033e-05
6,-0.00058335606765573
6,5.94628603150206e-06
6,-1.50064026652677e-05
6,1.83072454643427e-06
6,-1.84137430872063e-05
6,0.000105477066811365
7,23.8650593751578
7,-0.000491862040150836
7,3.03373857693451e-05
7,0.00180329913236656
7,2.1692100473354e-08
7,1.46328447089431e-07
7,-3.62415491757433
7,1.72540707446075e-05
7,-0.000280674668018929
7,0.555436771922472
7,5.29796752353092e-05
7,5.21080908442311e-08
7,6.42505066859129e-09
7,-1.05307422920522e-05
7,9.24552315491398e-09
7,-4.56080346574884e-05
7,2.13056341827219e-07
7,1.2603437177565e-07
7,-9.09213236102308e-05
7,2.1625534395022e-08
7,2.07031295897073e-06
7,0.00233774411985115
7,3.98255662675264e-06
7,-1.11600530270392e-07
7,-0.000277788705646618
7,1.2387887747944e-07
7,-1.87318256885312e-06
7,0.0015553620953987
7,-0.000859108035248694
7,-1.03880334147494e-06
7,-8.35082957745587e-08
7,0.000133787646797556
7,-9.33382415217835e-09
7,7.97988782731711e-08
7,1.65952279918217e-05
7,9.33092550707295e-06
7,1.15312238636908e-05
7,9.72417679802684e-09
7,1.14058583219588e-09
7,-1.87195410428585e-06
7,-3.22508168519749e-10
7,1.48968008884982e-09
7,-7.58906013031033e-08
7,-1.13365080512036e-07
7,2.3982396808074e-09
7,0.000511038287066772
7,5.92017199253284e-07
7,6.2317656893386e-08
7,-8.54157687155037e-05
7,4.30878311131488e-08
7,-1.33225229413025e-07
7,-1.39686821187738e-05
7,-1.979102523459e-06
7,-3.17816877281216e-08
7,6.39487463042721e-06
7,0.0333990659212544
7,-1.9596137915913e-06
7,2.64409851358558e-06
7,-0.00512523211305987
7,6.19154316069863e-07
7,-2.52203568631364e-06
7,5.47139466519248e-05
7,9.32902137048587e-06
7,1.76939927146515e-08
7,-1.29614175420406e-07
7,0.0269790402705311
7,0.0286882350572325
7,-2.29022987903472e-05
7,3.16459783801298e-06
7,-0.00501206527400781
7,2.46611078231442e-07
7,1.35085308542477e-05
7,-0.000150709414056572
7,-2.56628674481228e-05
7,4.10524632932352e-07
7,1.59721045372991e-06
7,0.000187919151180243
7,0.0537778683850537
7,0.00129016432200828
7,-1.665955193116e-05
7,9.50528807017881e-08
7,-0.000176766632805221
7,-3.71335294990888e-07
7,2.87093026289737e-08
7,1.31748151620155e-05
7,-1.40783645050047e-05
7,3.36220283562176e-07
7,5.35862651225876e-06
7,0.000154141755050519
7,0.000202170528074886
7,0.0251292728887022
7,0.0104853224252526
7,-2.67491476246346e-05
7,4.21389414813925e-07
7,-0.0014277341236554
7,-2.4731030892925e-07
7,-1.09578148790383e-06
7,7.07925067622587e-05
7,-4.19446320886519e-06
7,1.63356374727425e-07
7,-6.87754697512563e-06
7,0.00012958688626497
7,0.000174310727435598
7,0.000197459867851998
7,0.0114071898896759
7,-0.00918330361228844
7,3.59778980792116e-06
7,-8.40500430074421e-07
7,0.00134338936659919
7,4.64866571878834e-07
7,1.22615014558258e-06
7,-0.000253302367336047
7,-1.64968920234437e-05
7,3.98286530693523e-07
7,1.00910376731872e-06
7,0.000176406221502084
7,0.000265213472495561
7,0.00020809802434234
7,0.000202987898032158
7,0.291967506518829
7,-0.0200453414942901
7,-2.83448910544715e-05
