"sp","parmEst"
1,0.574349549671028
2,0.607250647583081
3,0.705930830559598
4,0.512733062846753
5,0.599075990863856
6,0.375029212342872
7,0.934313886370427
8,0.528891691991741
9,0.719929242960889
10,0.661361028744969
11,0.743625502395545
12,0.784911820471538
13,0.954750100569365
14,0.803960480726881
15,1.14443503191438
16,0.486542120109155
17,0.469887430166892
18,0.924435703272558
19,0.613347608612463
20,0.459841251406496
21,0.537560218036442
22,0.594434732334422
23,0.613009900584631
24,0.603597976258688
25,0.599156971724814
26,0.597465070253247
27,0.851652726258023
28,0.560998622610436
29,0.648327768433856
30,0.499180462516347
31,0.860290172584641
32,0.701099872468416
33,0.532735572451858
