a1;b1;b2;b3;b4;b5;b0
1.36E-06;-1.40E-06;-1.25E-07;-1.08E-06;-6.90E-09;-4.32E-07;2.12E-06
-1.40E-06;0.152138416;0.00578725;0.105687215;0.000716958;0.063761398;-0.283297062
-1.25E-07;0.00578725;0.001083747;0.00523837;3.12E-05;0.001717755;-0.0121246
-1.08E-06;0.105687215;0.00523837;0.075162243;0.000503626;0.043226432;-0.19872669
-6.90E-09;0.000716958;3.12E-05;0.000503626;5.69E-06;0.000296904;-0.001381738
-4.32E-07;0.063761398;0.001717755;0.043226432;0.000296904;0.027577272;-0.117559036
2.12E-06;-0.283297062;-0.0121246;-0.19872669;-0.001381738;-0.117559036;0.530391052
