PopSize;speciesRichness;averageSpecies;scale1;scale2;Simpson;Sorensen;Nestedness;SimpsonCorr;SorensenCorr;NestednessCorr
20;100.0;18.0;1.0;5.0;0.8977449455676516;0.909513160158266;0.01176821459061439;0.467503543227374;0.5012799848298094;0.033776441602435425
20;80.0;14.0;1.0;5.0;0.8958230958230958;0.9115929941618015;0.01576989833870568;0.46233832107532336;0.5076637250348353;0.0453254039595119
20;60.0;10.0;1.0;5.0;0.8955851436580238;0.9105373761633143;0.014952232505290541;0.4617052023121387;0.5044071179111925;0.04270191559905384
20;40.0;7.0;1.0;5.0;0.8844444444444445;0.9106529209621993;0.02620847651775482;0.4335511982570806;0.5047619047619047;0.07121070650482414
30;100.0;18.0;1.0;5.0;0.9159349897253877;0.9304267161410018;0.014491726415614137;0.42075002145370294;0.47133458646616544;0.0505845650124625
30;80.0;14.0;1.0;5.0;0.9119683481701286;0.9294630473548643;0.017494699184735674;0.408506867523261;0.4676502841192304;0.05914341659596939
30;60.0;8.0;1.0;5.0;0.9254633360193393;0.9408284023668639;0.015365066347524658;0.45287854889589907;0.5145631067961165;0.06168455790021743
30;40.0;6.0;1.0;5.0;0.9152445961319682;0.9359277574715115;0.020683161339543288;0.41857440166493237;0.4933696021761305;0.07479520051119815
40;100.0;17.0;1.0;5.0;0.9330297645490893;0.9423986244447629;0.009368859895673598;0.4105859928644739;0.44995553123075865;0.03936953836628476
40;80.0;16.0;1.0;5.0;0.9257909126415831;0.9371069182389937;0.011316005597410639;0.38414996488574366;0.4269340974212034;0.04278413253545976
40;60.0;11.0;1.0;5.0;0.932822833275322;0.9431600647916359;0.010337231516313938;0.40978593272171254;0.4534513274336283;0.04366539471191577
40;40.0;6.0;1.0;5.0;0.9197551853111187;0.9432282896319462;0.023473104320827498;0.3643097643097643;0.4537669251244069;0.08945716081464261
50;100.0;18.0;1.0;5.0;0.942314335060449;0.951550668716818;0.009236333656369;0.3951904968854122;0.4399656601698212;0.044775163284409
