SampleSize;SimpsonTrue;SorensenTrue;SimpsonPoint;SimpsonVar;SorensenPoint;SorensenVar
5;0.3377482757734884;0.5341058764161822;0.3352543848778332;2.6598238999847373E-4;0.5249601771211928;1.727186753842934E-4
5;0.3377482757734884;0.5341058764161822;0.33548157102922377;8.150729221385799E-4;0.5302857709890044;6.266736698081768E-4
5;0.3377482757734884;0.5341058764161822;0.3302039320790106;3.9751733229051553E-4;0.5341236771661683;3.859433919115461E-4
5;0.3377482757734884;0.5341058764161822;0.37612547547216635;1.466650883947369E-4;0.5520457363402042;1.6604318276171906E-4
5;0.3377482757734884;0.5341058764161822;0.33743394608865623;2.5348665679674013E-4;0.5373950012950237;1.8369223432844364E-4
5;0.3377482757734884;0.5341058764161822;0.33695645707010263;9.136679518164791E-4;0.5254846602056223;4.4594072887612984E-4
5;0.3377482757734884;0.5341058764161822;0.34201580486390254;2.0788249225965448E-4;0.5422970321718428;1.9060550697952002E-4
5;0.3377482757734884;0.5341058764161822;0.34403533892486565;6.807554154669782E-4;0.537079139211747;6.100529308506003E-4
5;0.3377482757734884;0.5341058764161822;0.347782373257908;4.0045908724044803E-4;0.5530567547748894;1.4448315639047443E-4
5;0.3377482757734884;0.5341058764161822;0.3567060358128959;6.136867881282025E-4;0.5505343383136113;4.1717048108065114E-4
5;0.3377482757734884;0.5341058764161822;0.32319096224684923;3.053099909913965E-4;0.5223717711302839;3.746939461992695E-4
5;0.3377482757734884;0.5341058764161822;0.32827880513357804;1.0269977979113325E-4;0.538775809698806;1.7344811975776738E-4
5;0.3377482757734884;0.5341058764161822;0.32702534634482733;2.2234250020771647E-4;0.512732587763178;2.215826007675631E-4
5;0.3377482757734884;0.5341058764161822;0.3705019218960346;6.910221917520239E-4;0.5618933855963535;3.477106758509374E-4
5;0.3377482757734884;0.5341058764161822;0.34890977644872395;4.971556539644649E-4;0.5558917430044029;6.600565110277448E-4
5;0.3377482757734884;0.5341058764161822;0.336613592402767;1.327933139710893E-4;0.5070365919020318;1.7588485310671587E-4
5;0.3377482757734884;0.5341058764161822;0.3472399112233827;5.925072980761438E-4;0.5480323412714496;5.119443911951121E-4
5;0.3377482757734884;0.5341058764161822;0.3162952539096332;3.3179998338427107E-4;0.5223229563676037;9.99437437846122E-4
5;0.3377482757734884;0.5341058764161822;0.34537121671185345;5.309828657347446E-5;0.5309977800279866;1.0591221769306182E-4
5;0.3377482757734884;0.5341058764161822;0.34244881441290204;6.608614972580659E-4;0.5374164364495244;6.578279018708121E-4
