Equation,s1,s2,s3,s4,s5,s6,s7,ess,esslat
branches,0.000179503,2.36384E-05,0.000498361,0.0003603,0.000247118,0.000302649,0.001862936,Red Spruce,PiceaRubens
foliage,0.000157721,2.04453E-05,0.000418113,0.000247118,0.000206382,0.000232118,0.001434154,Red Spruce,PiceaRubens
crown,0.000177535,2.18502E-05,0.000473468,0.000302649,0.000232118,0.000271536,0.00167026,Red Spruce,PiceaRubens
total,0.003381836,0.000301785,0.009214146,0.001862936,0.001434154,0.00167026,0.019578915,Red Spruce,PiceaRubens
wood,0.000136627,3.54653E-05,0.000197632,8.33E-07,0.000162306,3.89809E-05,0.000270489,Trembling Aspen,PopulusTremuloides
bark,3.54653E-05,3.36871E-05,7.29306E-05,4.45E-07,3.87186E-05,1.05477E-05,0.000100214,Trembling Aspen,PopulusTremuloides
stem,0.000197632,7.29306E-05,0.000305571,3.93E-06,0.000249418,6.67171E-05,0.000421611,Trembling Aspen,PopulusTremuloides
branches,8.33E-07,4.45E-07,3.93E-06,0.000338908,0.001860854,0.00121882,0.000290386,Trembling Aspen,PopulusTremuloides
foliage,0.000162306,3.87186E-05,0.000249418,0.001860854,0.023427963,0.008383725,0.002256149,Trembling Aspen,PopulusTremuloides
crown,3.89809E-05,1.05477E-05,6.67171E-05,0.00121882,0.008383725,0.004690915,0.001157371,Trembling Aspen,PopulusTremuloides
total,0.000270489,0.000100214,0.000421611,0.000290386,0.002256149,0.001157371,0.000851988,Trembling Aspen,PopulusTremuloides
wood,0.440843376,0.010905615,0.390784172,0.003798882,-0.015988178,0.007038328,0.12375334,White Ash,FraxinusAmericana
bark,0.010905615,0.001111542,0.012460604,-2.92551E-05,-9.47544E-05,-6.87221E-05,0.003756813,White Ash,FraxinusAmericana
stem,0.390784172,0.012460604,0.356080089,0.002941327,-0.012478357,0.005374342,0.112215689,White Ash,FraxinusAmericana
branches,0.003798882,-2.92551E-05,0.002941327,0.001710464,0.010525097,0.003404526,0.005438669,White Ash,FraxinusAmericana
foliage,-0.015988178,-9.47544E-05,-0.012478357,0.010525097,0.208175256,0.02331628,0.027762313,White Ash,FraxinusAmericana
crown,0.007038328,-6.87221E-05,0.005374342,0.003404526,0.02331628,0.006892568,0.010814934,White Ash,FraxinusAmericana
total,0.12375334,0.003756813,0.112215689,0.005438669,0.027762313,0.010814934,0.049127445,White Ash,FraxinusAmericana
wood,0.004759966,0.000852405,0.009258802,0.001025738,9.19578E-05,0.00094792,0.00997797,White Elm,UlmusAmericana
bark,0.000852405,0.001649425,0.003086818,-0.000263039,0.000112647,-0.000223418,0.002913386,White Elm,UlmusAmericana
stem,0.009258802,0.003086818,0.019864845,0.001570732,0.000228982,0.001399001,0.02084249,White Elm,UlmusAmericana
branches,0.001025738,-0.000263039,0.001570732,0.043477851,0.002818886,0.037347672,0.024000006,White Elm,UlmusAmericana
foliage,9.19578E-05,0.000112647,0.000228982,0.002818886,0.001676511,0.003127533,0.002201829,White Elm,UlmusAmericana
crown,0.00094792,-0.000223418,0.001399001,0.037347672,0.003127533,0.032442577,0.020964981,White Elm,UlmusAmericana
total,0.00997797,0.002913386,0.02084249,0.024000006,0.002201829,0.020964981,0.033683727,White Elm,UlmusAmericana
wood,0.461750873,0.021693496,0.58177056,0.001320384,0.086697485,0.02160026,0.526301858,Yellow Birch,BetulaAlleghaniensis
bark,0.021693496,0.009429201,0.045656744,-0.000146247,-0.00773976,-0.000906016,0.033921964,Yellow Birch,BetulaAlleghaniensis
stem,0.58177056,0.045656744,0.773760338,0.00136469,0.085247326,0.024186202,0.685822975,Yellow Birch,BetulaAlleghaniensis
branches,0.001320384,-0.000146247,0.00136469,0.000463409,0.008527795,0.003893819,0.011974582,Yellow Birch,BetulaAlleghaniensis
foliage,0.086697485,-0.00773976,0.085247326,0.008527795,0.572182953,0.09206413,0.328279241,Yellow Birch,BetulaAlleghaniensis
crown,0.02160026,-0.000906016,0.024186202,0.003893819,0.09206413,0.037753485,0.129714768,Yellow Birch,BetulaAlleghaniensis
total,0.526301858,0.033921964,0.685822975,0.011974582,0.328279241,0.129714768,0.952720022,Yellow Birch,BetulaAlleghaniensis
