EstType,Parameter,Estimate,StdErr,tValue,Probt,DF,ess,esslat
SUR Esti,cbark,0.67695088281165,0.1709,3.96,0.0001,174.9,Beech,FagusGrandifolia
SUR Esti,abranche,0.0355262984302224,0.00447,7.94,0.0001,175.2,Beech,FagusGrandifolia
SUR Esti,bbranche,2.37486082265761,0.0381,62.31,0.0001,175.2,Beech,FagusGrandifolia
SUR Esti,afoliage,0.0452277744969402,0.00803,5.64,0.0001,175.2,Beech,FagusGrandifolia
SUR Esti,bfoliage,1.5566858537367,0.0529,29.42,0.0001,175.2,Beech,FagusGrandifolia
SUR Esti,awood,0.0520394341769482,0.00687,7.57,0.0001,31,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,bwood,1.77314299143839,0.0347,51.16,0.0001,31,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,cwood,0.70538603129379,0.0871,8.1,0.0001,31,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,abark,0.0282873628798385,0.00397,7.12,0.0001,31.11,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,bbark,1.70793045333979,0.0488,35,0.0001,31.11,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,abranche,0.0219225577532265,0.00628,3.49,0.0015,31.11,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,bbranche,2.3585416597253,0.0899,26.22,0.0001,31.11,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,afoliage,0.25748929993752,0.1128,2.28,0.0294,31,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,bfoliage,2.51360709187298,0.1784,14.09,0.0001,31,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,cfoliage,-1.55651869931773,0.3393,-4.59,0.0001,31,Eastern Red Cedar,JuniperusVirginiana
SUR Esti,awood,0.0139411442665101,0.00204,6.84,0.0001,73.89,Hickory,CaryaSp
SUR Esti,bwood,1.59125431843911,0.0472,33.7,0.0001,73.89,Hickory,CaryaSp
SUR Esti,cwood,1.50801041235043,0.0797,18.93,0.0001,73.89,Hickory,CaryaSp
SUR Esti,abark,0.0081214003425141,0.00211,3.84,0.0003,73.89,Hickory,CaryaSp
SUR Esti,bbark,1.49432189731053,0.0886,16.87,0.0001,73.89,Hickory,CaryaSp
SUR Esti,cbark,1.13236350903224,0.1413,8.01,0.0001,73.89,Hickory,CaryaSp
SUR Esti,abranche,0.00500436192435257,0.00144,3.46,0.0009,74.22,Hickory,CaryaSp
SUR Esti,bbranche,3.04630675471853,0.09,33.85,0.0001,74.22,Hickory,CaryaSp
SUR Esti,afoliage,0.0121351093149452,0.00248,4.9,0.0001,74.22,Hickory,CaryaSp
SUR Esti,bfoliage,2.08648973999083,0.0623,33.51,0.0001,74.22,Hickory,CaryaSp
SUR Esti,awood,0.0083351750164417,0.00333,2.51,0.0276,11.78,Hop-Hornbeam,OstryaVirginiana
SUR Esti,bwood,1.65335193352254,0.0532,31.09,0.0001,11.78,Hop-Hornbeam,OstryaVirginiana
SUR Esti,cwood,1.74791002072156,0.163,10.72,0.0001,11.78,Hop-Hornbeam,OstryaVirginiana
SUR Esti,abark,0.00119507685785051,0.000881,1.36,0.1997,11.78,Hop-Hornbeam,OstryaVirginiana
SUR Esti,bbark,1.14860172484613,0.1174,9.79,0.0001,11.78,Hop-Hornbeam,OstryaVirginiana
SUR Esti,cbark,2.29032101661102,0.3428,6.68,0.0001,11.78,Hop-Hornbeam,OstryaVirginiana
SUR Esti,abranche,0.000855288588073695,0.00092,0.93,0.3708,11.89,Hop-Hornbeam,OstryaVirginiana
SUR Esti,bbranche,1.9151646555647,0.138,13.88,0.0001,11.89,Hop-Hornbeam,OstryaVirginiana
SUR Esti,cbranche,1.77686865708484,0.4215,4.22,0.0012,11.89,Hop-Hornbeam,OstryaVirginiana
SUR Esti,afoliage,0.0247089775168012,0.00851,2.9,0.0132,12,Hop-Hornbeam,OstryaVirginiana
SUR Esti,bfoliage,2.00560503608533,0.1271,15.78,0.0001,12,Hop-Hornbeam,OstryaVirginiana
SUR Esti,awood,0.0198728558434297,0.00101,19.73,0.0001,361.8,Jack Pine,PinusBanksiana
SUR Esti,bwood,1.68834711836391,0.0185,91.17,0.0001,361.8,Jack Pine,PinusBanksiana
SUR Esti,cwood,1.24559001804354,0.028,44.51,0.0001,361.8,Jack Pine,PinusBanksiana
SUR Esti,abark,0.0141369748580382,0.000982,14.39,0.0001,361.8,Jack Pine,PinusBanksiana
SUR Esti,bbark,1.59936858499779,0.0388,41.2,0.0001,361.8,Jack Pine,PinusBanksiana
SUR Esti,cbark,0.59570780614627,0.0553,10.77,0.0001,361.8,Jack Pine,PinusBanksiana
SUR Esti,abranche,0.018538983661964,0.00213,8.7,0.0001,361.9,Jack Pine,PinusBanksiana
SUR Esti,bbranche,3.05835987383688,0.0551,55.54,0.0001,361.9,Jack Pine,PinusBanksiana
SUR Esti,cbranche,-0.98161142150457,0.0654,-15.02,0.0001,361.9,Jack Pine,PinusBanksiana
SUR Esti,afoliage,0.0325220769302731,0.0035,9.29,0.0001,362,Jack Pine,PinusBanksiana
SUR Esti,bfoliage,1.78793580019918,0.0359,49.8,0.0001,362,Jack Pine,PinusBanksiana
SUR Esti,awood,0.0128488665509105,0.00108,11.91,0.0001,97.89,Largetooth Aspen,PopulusGrandidentata
SUR Esti,bwood,2.06329318792244,0.0314,65.72,0.0001,97.89,Largetooth Aspen,PopulusGrandidentata
SUR Esti,cwood,0.95161797853269,0.048,19.83,0.0001,97.89,Largetooth Aspen,PopulusGrandidentata
SUR Esti,abark,0.0240161237749246,0.00223,10.75,0.0001,98,Largetooth Aspen,PopulusGrandidentata
SUR Esti,bbark,2.30551430927525,0.0325,71.04,0.0001,98,Largetooth Aspen,PopulusGrandidentata
SUR Esti,abranche,0.0131406948941901,0.00168,7.81,0.0001,97.78,Largetooth Aspen,PopulusGrandidentata
SUR Esti,bbranche,3.12737419834857,0.0766,40.81,0.0001,97.78,Largetooth Aspen,PopulusGrandidentata
SUR Esti,cbranche,-0.83788930800391,0.0902,-9.29,0.0001,97.78,Largetooth Aspen,PopulusGrandidentata
SUR Esti,afoliage,0.0382491382019312,0.00283,13.52,0.0001,97.78,Largetooth Aspen,PopulusGrandidentata
SUR Esti,bfoliage,2.16731717597221,0.0547,39.59,0.0001,97.78,Largetooth Aspen,PopulusGrandidentata
SUR Esti,cfoliage,-0.68422831449431,0.0647,-10.57,0.0001,97.78,Largetooth Aspen,PopulusGrandidentata
SUR Esti,awood,0.0224178677641692,0.00476,4.71,0.0001,24.89,Red Ash,FraxinusPennsylvanica
SUR Esti,bwood,1.78448169277594,0.0816,21.88,0.0001,24.89,Red Ash,FraxinusPennsylvanica
SUR Esti,cwood,1.06598755390348,0.1202,8.87,0.0001,24.89,Red Ash,FraxinusPennsylvanica
SUR Esti,abark,0.0218702388840907,0.00506,4.32,0.0002,24.89,Red Ash,FraxinusPennsylvanica
SUR Esti,bbark,1.41899840592876,0.0882,16.08,0.0001,24.89,Red Ash,FraxinusPennsylvanica
SUR Esti,cbark,0.89633173870686,0.1307,6.86,0.0001,24.89,Red Ash,FraxinusPennsylvanica
SUR Esti,abranche,0.0175536521639929,0.00771,2.28,0.0316,25.22,Red Ash,FraxinusPennsylvanica
SUR Esti,bbranche,2.33131346241969,0.1358,17.17,0.0001,25.22,Red Ash,FraxinusPennsylvanica
SUR Esti,afoliage,0.07608518987963,0.0263,2.89,0.0079,25.22,Red Ash,FraxinusPennsylvanica
SUR Esti,bfoliage,1.30774837474172,0.1043,12.54,0.0001,25.22,Red Ash,FraxinusPennsylvanica
SUR Esti,awood,0.0315132736868929,0.0042,7.5,0.0001,175.1,Red Maple,AcerRubrum
SUR Esti,bwood,2.03423526776781,0.0423,48.04,0.0001,175.1,Red Maple,AcerRubrum
SUR Esti,cwood,0.74847709875314,0.077,9.72,0.0001,175.1,Red Maple,AcerRubrum
SUR Esti,abark,0.0283435224516629,0.00293,9.69,0.0001,175.2,Red Maple,AcerRubrum
SUR Esti,bbark,2.0907354567994,0.0332,62.91,0.0001,175.2,Red Maple,AcerRubrum
SUR Esti,abranche,0.0225464301492943,0.00339,6.65,0.0001,175.3,Red Maple,AcerRubrum
SUR Esti,bbranche,2.41062205638125,0.0475,50.79,0.0001,175.3,Red Maple,AcerRubrum
SUR Esti,afoliage,0.0571386806192046,0.00643,8.89,0.0001,175.3,Red Maple,AcerRubrum
SUR Esti,bfoliage,1.48984752481775,0.0358,41.57,0.0001,175.3,Red Maple,AcerRubrum
SUR Esti,awood,0.0285189336504269,0.00492,5.79,0.0001,114.8,Red Oak,QuercusRubra
SUR Esti,bwood,1.8500742178295,0.0368,50.21,0.0001,114.8,Red Oak,QuercusRubra
SUR Esti,cwood,1.02037782312868,0.0732,13.94,0.0001,114.8,Red Oak,QuercusRubra
SUR Esti,abark,0.0325763234854409,0.00656,4.97,0.0001,114.8,Red Oak,QuercusRubra
SUR Esti,bbark,1.80996302754776,0.061,29.66,0.0001,114.8,Red Oak,QuercusRubra
SUR Esti,cbark,0.41532002563503,0.109,3.81,0.0002,114.8,Red Oak,QuercusRubra
SUR Esti,abranche,0.00131986071307887,0.00053,2.49,0.0142,114.9,Red Oak,QuercusRubra
SUR Esti,bbranche,3.06373094595813,0.0863,35.52,0.0001,114.9,Red Oak,QuercusRubra
SUR Esti,cbranche,0.31530898376726,0.1273,2.48,0.0147,114.9,Red Oak,QuercusRubra
SUR Esti,afoliage,0.0581775077877879,0.00485,12,0.0001,115,Red Oak,QuercusRubra
SUR Esti,bfoliage,1.54376182895689,0.0295,52.35,0.0001,115,Red Oak,QuercusRubra
SUR Esti,awood,0.0143352591632777,0.00158,9.05,0.0001,53.11,Red Spruce,PiceaRubens
SUR Esti,bwood,1.6441151898457,0.034,48.31,0.0001,53.11,Red Spruce,PiceaRubens
SUR Esti,cwood,1.40648326487867,0.069,20.38,0.0001,53.11,Red Spruce,PiceaRubens
SUR Esti,abark,0.0274305569384255,0.00406,6.75,0.0001,53.22,Red Spruce,PiceaRubens
SUR Esti,bbark,2.01883056069118,0.0481,41.94,0.0001,53.22,Red Spruce,PiceaRubens
SUR Esti,abranche,0.000452019821606747,0.000122,3.72,0.0005,53.33,Red Spruce,PiceaRubens
SUR Esti,bbranche,3.31361626990403,0.0779,42.55,0.0001,53.33,Red Spruce,PiceaRubens
SUR Esti,afoliage,0.0105585187248436,0.00219,4.83,0.0001,53.33,Red Spruce,PiceaRubens
SUR Esti,bfoliage,2.2709295208301,0.0649,34.98,0.0001,53.33,Red Spruce,PiceaRubens
SUR Esti,awood,0.0142424598779226,0.000527,27.03,0.0001,770.8,Trembling Aspen,PopulusTremuloides
SUR Esti,bwood,1.93886338564473,0.0176,109.92,0.0001,770.8,Trembling Aspen,PopulusTremuloides
SUR Esti,cwood,1.05723474793627,0.0271,38.99,0.0001,770.8,Trembling Aspen,PopulusTremuloides
SUR Esti,abark,0.00631552696031377,0.00048,13.15,0.0001,770.8,Trembling Aspen,PopulusTremuloides
SUR Esti,bbark,2.08192485859645,0.0354,58.86,0.0001,770.8,Trembling Aspen,PopulusTremuloides
SUR Esti,cbark,0.66174379413255,0.0527,12.55,0.0001,770.8,Trembling Aspen,PopulusTremuloides
SUR Esti,abranche,0.0136634415951501,0.00119,11.44,0.0001,770.9,Trembling Aspen,PopulusTremuloides
SUR Esti,bbranche,2.92698543727897,0.0445,65.75,0.0001,770.9,Trembling Aspen,PopulusTremuloides
SUR Esti,cbranche,-0.62210223468265,0.0633,-9.82,0.0001,770.9,Trembling Aspen,PopulusTremuloides
SUR Esti,afoliage,0.0269774581942593,0.0018,14.95,0.0001,771,Trembling Aspen,PopulusTremuloides
SUR Esti,bfoliage,1.61826390867319,0.0231,70.06,0.0001,771,Trembling Aspen,PopulusTremuloides
SUR Esti,awood,0.0223854296961587,0.00459,4.88,0.0001,106.8,White Ash,FraxinusAmericana
SUR Esti,bwood,1.7438451050484,0.0364,47.95,0.0001,106.8,White Ash,FraxinusAmericana
SUR Esti,cwood,1.18992678384319,0.0917,12.97,0.0001,106.8,White Ash,FraxinusAmericana
SUR Esti,abark,0.0126440166576482,0.00341,3.71,0.0003,106.8,White Ash,FraxinusAmericana
SUR Esti,bbark,1.64555386657234,0.0607,27.1,0.0001,106.8,White Ash,FraxinusAmericana
SUR Esti,cbark,0.78926937513587,0.1361,5.8,0.0001,106.8,White Ash,FraxinusAmericana
SUR Esti,abranche,0.0353986102589688,0.00844,4.2,0.0001,107,White Ash,FraxinusAmericana
SUR Esti,bbranche,2.30463314523882,0.0739,31.17,0.0001,107,White Ash,FraxinusAmericana
SUR Esti,afoliage,0.0195326009999206,0.00935,2.09,0.039,106.9,White Ash,FraxinusAmericana
SUR Esti,bfoliage,1.05086854121776,0.1073,9.79,0.0001,106.9,White Ash,FraxinusAmericana
SUR Esti,cfoliage,0.78359699116579,0.198,3.96,0.0001,106.9,White Ash,FraxinusAmericana
SUR Esti,awood,0.0207496763572407,0.00391,5.31,0.0001,79.11,White Elm,UlmusAmericana
SUR Esti,bwood,2.22760886719083,0.0632,35.24,0.0001,79.11,White Elm,UlmusAmericana
SUR Esti,cwood,0.64880310111612,0.1171,5.54,0.0001,79.11,White Elm,UlmusAmericana
SUR Esti,abark,0.00778004209484426,0.00242,3.22,0.0019,79.22,White Elm,UlmusAmericana
SUR Esti,bbark,2.45399573243562,0.0954,25.71,0.0001,79.22,White Elm,UlmusAmericana
SUR Esti,abranche,0.039269230585071,0.00589,6.67,0.0001,79.33,White Elm,UlmusAmericana
SUR Esti,bbranche,2.1879892518418,0.0456,47.95,0.0001,79.33,White Elm,UlmusAmericana
SUR Esti,afoliage,0.0516281188784342,0.00278,18.56,0.0001,79.33,White Elm,UlmusAmericana
SUR Esti,bfoliage,1.45105935845911,0.0187,77.71,0.0001,79.33,White Elm,UlmusAmericana
SUR Esti,awood,0.0258956913565784,0.00382,6.77,0.0001,277.9,Yellow Birch,BetulaAlleghaniensis
SUR Esti,bwood,1.90442804269089,0.0305,62.48,0.0001,277.9,Yellow Birch,BetulaAlleghaniensis
SUR Esti,cwood,0.97154500213624,0.0709,13.71,0.0001,277.9,Yellow Birch,BetulaAlleghaniensis
SUR Esti,abark,0.00694181614361914,0.00154,4.5,0.0001,277.9,Yellow Birch,BetulaAlleghaniensis
SUR Esti,bbark,2.08341530161786,0.0534,39.01,0.0001,277.9,Yellow Birch,BetulaAlleghaniensis
SUR Esti,cbark,0.5370860720415,0.1178,4.56,0.0001,277.9,Yellow Birch,BetulaAlleghaniensis
SUR Esti,abranche,0.0325479655110984,0.00252,12.92,0.0001,278.2,Yellow Birch,BetulaAlleghaniensis
SUR Esti,bbranche,2.38514316497865,0.0231,103.14,0.0001,278.2,Yellow Birch,BetulaAlleghaniensis
SUR Esti,afoliage,0.16828516330904,0.0222,7.59,0.0001,278.2,Yellow Birch,BetulaAlleghaniensis
SUR Esti,bfoliage,1.27637232812551,0.038,33.63,0.0001,278.2,Yellow Birch,BetulaAlleghaniensis
