Dependent,Estimate,Probt,ess,esslat
bark2,2.730879136,<.0001,Sugar Maple,AcerSaccharum
stem2,2.950102771,<.0001,Sugar Maple,AcerSaccharum
branches2,3.773410048,<.0001,Sugar Maple,AcerSaccharum
foliage2,2.491078014,<.0001,Sugar Maple,AcerSaccharum
crown2,3.835170773,<.0001,Sugar Maple,AcerSaccharum
total2,3.093601643,<.0001,Sugar Maple,AcerSaccharum
wood2,4.185939224,<.0001,Tamarack Larch,LarixLaricina
bark2,3.381708368,<.0001,Tamarack Larch,LarixLaricina
stem2,4.116322626,<.0001,Tamarack Larch,LarixLaricina
branches2,4.04378053,<.0001,Tamarack Larch,LarixLaricina
foliage2,2.300740345,<.0001,Tamarack Larch,LarixLaricina
crown2,3.4339753,<.0001,Tamarack Larch,LarixLaricina
total2,3.718095125,<.0001,Tamarack Larch,LarixLaricina
wood2,4.488286862,<.0001,White Birch,BetulaPapyrifera
bark2,4.091286799,<.0001,White Birch,BetulaPapyrifera
stem2,4.267379189,<.0001,White Birch,BetulaPapyrifera
branches2,4.698835627,<.0001,White Birch,BetulaPapyrifera
foliage2,2.273514069,<.0001,White Birch,BetulaPapyrifera
crown2,3.801275326,<.0001,White Birch,BetulaPapyrifera
total2,4.063691983,<.0001,White Birch,BetulaPapyrifera
wood2,3.798442018,<.0001,White Oak,QuercusAlba
bark2,2.65746076,<.0001,White Oak,QuercusAlba
stem2,3.195714027,<.0001,White Oak,QuercusAlba
branches2,3.408351828,<.0001,White Oak,QuercusAlba
foliage2,2.438166732,<.0001,White Oak,QuercusAlba
crown2,3.188406851,<.0001,White Oak,QuercusAlba
total2,3.325536797,<.0001,White Oak,QuercusAlba
wood2,4.109203605,<.0001,White Spruce,PiceaGlauca
bark2,3.98045041,<.0001,White Spruce,PiceaGlauca
stem2,4.194224437,<.0001,White Spruce,PiceaGlauca
branches2,3.857563323,<.0001,White Spruce,PiceaGlauca
foliage2,1.843855624,<.0001,White Spruce,PiceaGlauca
crown2,2.84757533,<.0001,White Spruce,PiceaGlauca
total2,3.603148875,<.0001,White Spruce,PiceaGlauca
wood2,4.255359588,<.0001,feuillu,Broadleaved
bark2,4.242637669,<.0001,feuillu,Broadleaved
stem2,4.171855224,<.0001,feuillu,Broadleaved
branches2,4.912878044,<.0001,feuillu,Broadleaved
foliage2,2.374597171,<.0001,feuillu,Broadleaved
crown2,4.502787634,<.0001,feuillu,Broadleaved
total2,4.417839099,<.0001,feuillu,Broadleaved
wood2,4.460246401,<.0001,resineux,Coniferous
bark2,4.047399235,<.0001,resineux,Coniferous
stem2,4.241037674,<.0001,resineux,Coniferous
branches2,4.027408467,<.0001,resineux,Coniferous
foliage2,2.746808116,<.0001,resineux,Coniferous
crown2,3.410963998,<.0001,resineux,Coniferous
total2,3.911194194,<.0001,resineux,Coniferous
