ModelID;ParameterEstimate
1;0.01124144473661
1;0.01106842759913
1;0.01350549608952
1;-0.0001142038455
1;-0.0001000665583
1;0.00637811118813
1;-0.0001076695139
1;-0.0001176913214
1;0.00558134391296
1;0.00601255731547
1;-0.0000199193011
1;-0.0000188127011
1;-0.0000265714893
1;-0.0000212325492
1;0.00341837249964
1;-0.0000168666472
1;-0.0000187268025
1;-0.000021657907
1;-0.0000241849535
1;0.00283913753774
1;0.00319903100884
1;-0.0002098446715
1;-0.0001362069453
1;-0.0001167141765
1;-0.0000937801409
1;-0.0003771264833
1;-0.0002955895696
1;0.01173895429108
1;-0.0000946372245
1;-0.0001082949064
1;-0.0000921097406
1;-0.0001071871205
1;-0.0002890777639
1;-0.0003103239123
1;0.00959109647195
1;0.01173054921379
1;0.00038646292934
1;0.00021643484384
1;6.86538506594E-6
1;4.81951323365E-6
1;-0.0004677902076
1;-0.0003809742972
1;0.0002404687423
1;0.00019699531893
1;0.00432736165594
1;0.00029616916362
1;0.00025939907223
1;5.05605210034E-6
1;4.96316048198E-6
1;-0.0003668651289
1;-0.0004057666365
1;0.00019424886418
1;0.00022241658366
1;0.00308315395115
1;0.0030177705572
1;-0.0002233161097
1;-0.000232540805
1;2.39043499483E-6
1;2.41056274849E-6
1;4.0110777815E-7
1;3.58617061008E-7
1;3.85224674852E-6
1;2.19023640695E-6
1;-7.5327472624E-6
1;-6.6070500008E-6
1;4.69217464115E-6
1;2.47750630516E-6
1;2.35450085956E-6
1;-0.0001248722311
1;-0.000118796205
1;5.74020561861E-7
1;5.44826273363E-7
1;2.52543880816E-6
1;2.31352579766E-6
1;-1.3227310819E-7
1;-1.1330558102E-7
1;-5.5360997398E-8
1;2.65786608206E-6
1;4.56731177361E-7
1;4.76545791107E-7
1;5.60662101264E-7
1;5.18334475166E-7
1;-0.000076143297
1;-0.0000734832742
1;8.02136003209E-6
1;6.98589365253E-6
1;0.00001002457994
1;8.96486302739E-6
1;-9.6834765439E-9
1;-1.4178076496E-8
1;1.97078881326E-6
1;2.39774523812E-6
1;1.37939255029E-6
1;2.63663355077E-6
1;2.4381080438E-6
1;7.93884628569E-6
1;7.09169932508E-6
1;-0.0002500464945
1;-0.0002409721531
1;-5.1169430744E-6
1;-4.8296248843E-6
1;-5.5642042957E-8
1;-6.5310611391E-8
1;-1.9255806438E-7
1;6.28227884485E-6
1;-7.8602607622E-6
1;-5.1735586198E-6
