Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;2667;34.49;<.0001
ldhp2;1;4097;513.12;<.0001
ldhp*st;1;3655;141.16;<.0001
ldhp*rdhp;1;3733;14.90;0.0001
ldhp*sdom;6;722;11.86;<.0001
ldhp*Tmoy;1;745;28.98;<.0001
ldhp*vp;11;853;2.66;0.0023
ldhp*dens;1;3748;6.49;0.0109
