row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4
1;ldhp;;;;;0.098050602;-0.00027348;-0.016539466;-0.011023984
2;ldhp*st;;;;;-0.00027348;2.98626E-05;-2.36147E-05;1.42955E-05
3;ldhp*Tmoy;;;;;-0.016539466;-2.36147E-05;0.003166631;0.000840368
4;ldhp*milieu;;;;2;-0.011023984;1.42955E-05;0.000840368;0.011141484
