Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;1946;0.26;0.6107
ldhp2;1;2362;434.09;<.0001
ldhp*st;1;2356;38.95;<.0001
ldhp*rdhp;1;2367;79.90;<.0001
ldhp*alt;1;619;57.16;<.0001
ldhp*ouest;1;594;16.35;<.0001
ldhp*milieu;4;695;4.46;0.0015
