Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;438;1.89;0.1703
ldhp2;1;1064;184.72;<.0001
ldhp*st;1;1078;60.79;<.0001
ldhp*rdhp;1;1071;64.65;<.0001
ldhp*milieu;2;285;8.57;0.0002
ldhp*vp;6;267;3.96;0.0008
ldhp*Tmoy;1;264;5.10;0.0247
ldhp*Ptot;1;287;4.55;0.0337
