Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;6858;384.55;<.0001
ldhp2;1;6933;1679.42;<.0001
ldhp*st;1;6830;776.56;<.0001
ldhp*rdhp;1;7166;18.22;<.0001
ldhp2*rdhp;1;7199;10.81;0.001
ldhp*sdom;9;2283;10.71;<.0001
ldhp*vp;17;2269;5.5;<.0001
ldhp*pert;2;4682;13.35;<.0001
