Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;35E3;1528.27;<.0001
ldhp2;1;38E3;7390.85;<.0001
ldhp*st;1;37E3;119.10;<.0001
ldhp*stgt;1;38E3;104.19;<.0001
ldhp2*stgt;1;38E3;241.84;<.0001
ldhp*sdom;10;7231;52.46;<.0001
ldhp*vp;21;7349;12.81;<.0001
ldhp*dens;1;34E3;87.65;<.0001
ldhp*milieu;9;7112;6.07;<.0001
ldhp*Tmoy;1;6821;55.34;<.0001
