"speciesID","Plot"
1,0.3516542
2,6.139585e-08
3,0.2966653
4,0.3363586871
5,0.2569972
6,0.3052768
7,0.3279425
8,0.2731163
9,0.2261408
10,0.4069484
12,0.4802074
11,0.4158133
13,0.3909344
14,0.5524541
15,1.1449676
16,0.2287652197
17,0.3838583
18,0.3837595
19,0.3008476
20,0.3860889
21,0.3035638
22,0.3794123
23,0.3250911
24,0.4230288
25,0.1964249
26,0.4745768
27,0.3095542
28,0.1249101
29,0.08032593
30,0.2396572
31,0.3733459
32,0.336708
33,0.5315148
