Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col29;Col30;Col31;Col32;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42
27;ldhp*vp;;;RS2;;-0.000565352;5.94487E-05;-1.79786E-07;-5.26674E-05;0.000279898;-4.49945E-05;-1.20753E-05;-0.000171737;-2.00003E-05;-3.44728E-05;-4.80246E-05;-2.52046E-05;0.033293168;0.032075017;0.032428115;0.033276026;0.033369151;0.001048541;0.001072272;0.033276646;0.033266512;0.000649286;0.033319769;0.033216432;0.033237508;0.033436807;1.3564E-05;-1.04998E-07;4.1332E-06;-6.69297E-07;-0.032690825;-0.032712337;-0.032692538;-0.03273426;-0.032066879;-0.032717305;-0.032732328;2.7857E-05;-0.000570045
29;ldhp*Tmoy;;;;;0.000300018;-1.85949E-06;-7.71566E-08;2.47716E-06;-0.000279624;-0.000144489;-0.0002197;-0.00011986;-0.000127247;-7.12348E-06;-8.04762E-05;7.79611E-05;2.41673E-05;1.6338E-05;1.93066E-05;1.45015E-05;-3.55953E-06;-3.03611E-05;-1.7185E-05;4.8716E-05;1.97666E-05;-1.0542E-05;5.3314E-05;-7.52137E-06;1.00965E-05;1.3564E-05;6.39889E-05;-2.95546E-07;-1.05336E-06;-1.00007E-06;-3.69847E-05;-3.74092E-05;-2.15351E-05;-6.73762E-05;-1.98833E-05;-1.56829E-05;-5.21141E-05;3.23999E-06;-1.37421E-05
30;ldhp*Ptot;;;;;-8.13635E-06;1.02081E-07;-3.24581E-10;-8.94149E-08;3.56395E-07;-5.12736E-07;7.01758E-07;-4.86824E-07;1.42106E-07;-1.46643E-06;2.7963E-07;-7.27545E-07;-5.8345E-08;-1.34824E-07;-1.85399E-07;-7.29964E-08;2.06677E-08;8.63692E-08;1.32753E-07;1.52148E-07;5.00274E-08;4.1303E-07;-4.25256E-07;2.32371E-07;-7.13077E-08;-1.04998E-07;-2.95546E-07;8.07817E-09;2.04831E-09;-1.37173E-09;4.05481E-07;3.70424E-07;3.54404E-07;6.71196E-07;3.74203E-07;2.69436E-07;6.26527E-07;8.08518E-08;2.57375E-07
31;ldhp*pert;INT;;;;-1.14347E-05;-5.77521E-08;4.60324E-07;2.80974E-06;-2.90338E-05;-1.01039E-05;-4.39554E-06;-8.35928E-06;-2.9249E-06;-5.28309E-06;-3.03855E-06;1.14194E-06;1.17085E-05;-2.62224E-06;2.05204E-07;5.44414E-06;-2.39772E-06;4.18948E-06;4.43659E-06;1.19309E-05;7.93021E-06;1.1913E-06;9.82101E-06;2.68685E-06;2.53327E-06;4.1332E-06;-1.05336E-06;2.04831E-09;0.000178667;5.28677E-06;-9.06355E-06;-9.95901E-06;-1.11745E-05;-9.79913E-06;-1.03906E-05;-8.83299E-06;-1.42125E-05;4.88445E-07;-4.36205E-06
32;ldhp*pert;MOY;;;;2.56242E-05;-1.84716E-05;4.34572E-07;1.46823E-05;8.94928E-06;4.76988E-06;3.91299E-06;2.15241E-06;7.20769E-07;2.07866E-07;1.3484E-06;-3.99082E-07;2.10256E-06;-3.1392E-07;2.08637E-06;-1.64041E-06;2.3805E-06;3.3841E-06;-2.34964E-06;6.49366E-06;3.65162E-06;2.46292E-06;-4.53525E-08;-1.49516E-06;1.6463E-07;-6.69297E-07;-1.00007E-06;-1.37173E-09;5.28677E-06;3.8167E-05;-1.99254E-06;-1.73603E-06;-3.19718E-06;-2.45089E-06;-3.97768E-06;-2.76074E-06;-3.5518E-06;-1.03303E-06;-1.5815E-06
34;ldhp*milieu;;;;0;-0.001406755;-7.24774E-05;-3.56316E-07;6.53091E-05;0.000196957;0.000168142;9.45341E-05;0.000138355;6.22973E-05;-4.6631E-05;6.54395E-05;-6.77517E-05;-0.032681361;-0.031553891;-0.031887925;-0.032691746;-0.032770582;-0.000159326;-0.000260458;-0.032710013;-0.032691811;0.000807994;-0.032772692;-0.032740092;-0.032685087;-0.032690825;-3.69847E-05;4.05481E-07;-9.06355E-06;-1.99254E-06;0.034367288;0.033826649;0.03380646;0.03386316;0.033176788;0.033810908;0.033856896;0.000480564;0.001461301
35;ldhp*milieu;;;;1;-0.001378813;-7.11003E-05;-4.82535E-07;6.88333E-05;0.000169069;0.000185347;0.000123858;0.000125016;4.1079E-05;-1.72954E-05;3.90451E-05;-4.04654E-05;-0.032695808;-0.031525451;-0.03187556;-0.032691552;-0.032775873;-0.000151581;-0.000247515;-0.032754694;-0.032716199;0.000809107;-0.032722454;-0.032691583;-0.032668802;-0.032712337;-3.74092E-05;3.70424E-07;-9.95901E-06;-1.73603E-06;0.033826649;0.03429983;0.033820551;0.03387586;0.03320403;0.033827363;0.033882103;0.000482169;0.001461651
36;ldhp*milieu;;;;2;-0.001365298;-7.63351E-05;-5.2292E-07;7.19594E-05;0.00013731;0.000146517;9.29463E-05;0.000127664;5.68955E-05;-1.48925E-05;5.38786E-05;-4.93627E-05;-0.032672339;-0.031561906;-0.031906988;-0.032723953;-0.032785848;-0.000149889;-0.000261297;-0.032692356;-0.032680171;0.000814352;-0.032749972;-0.032686643;-0.032683216;-0.032692538;-2.15351E-05;3.54404E-07;-1.11745E-05;-3.19718E-06;0.03380646;0.033820551;0.033900513;0.033857949;0.033176614;0.033815939;0.033858179;0.000484598;0.001456124
37;ldhp*milieu;;;;3;-0.001710101;-7.61357E-05;-1.13549E-06;7.86109E-05;0.000358643;0.000290274;0.000309537;0.000147585;0.000205337;-0.000147236;0.000133179;-3.52757E-05;-0.033201755;-0.031576384;-0.031889343;-0.032815264;-0.033095889;-9.78516E-05;-0.000204513;-0.032718758;-0.032699197;0.000834892;-0.032752162;-0.032680853;-0.032701219;-0.03273426;-6.73762E-05;6.71196E-07;-9.79913E-06;-2.45089E-06;0.03386316;0.03387586;0.033857949;0.036262764;0.03321917;0.033850628;0.033980833;0.000490132;0.001463378
38;ldhp*milieu;;;;4;-0.00140857;-6.99953E-05;-2.23094E-07;6.09974E-05;-0.00012571;0.000173482;8.24429E-05;0.000111073;3.60879E-05;-2.74133E-06;4.46305E-05;7.42237E-06;-0.032040564;-0.03094621;-0.031257911;-0.032041188;-0.032082415;-0.000129323;-0.000209969;-0.032060179;-0.032066646;0.000827931;-0.032071446;-0.0319868;-0.03208389;-0.032066879;-1.98833E-05;3.74203E-07;-1.03906E-05;-3.97768E-06;0.033176788;0.03320403;0.033176614;0.03321917;0.034580046;0.033190403;0.033246113;0.000485358;0.001447545
39;ldhp*milieu;;;;5;-0.001291153;-7.62738E-05;-2.60985E-07;6.81293E-05;9.08644E-05;0.000137592;6.31754E-05;0.000154136;5.95601E-05;2.04862E-05;6.01063E-05;-1.90246E-05;-0.032683874;-0.031564114;-0.031872608;-0.032714332;-0.032756771;-0.000148091;-0.000265352;-0.032668764;-0.032703361;0.000814848;-0.032688499;-0.032646053;-0.032682484;-0.032717305;-1.56829E-05;2.69436E-07;-8.83299E-06;-2.76074E-06;0.033810908;0.033827363;0.033815939;0.033850628;0.033190403;0.034084974;0.033871031;0.000483686;0.001454615
40;ldhp*milieu;;;;6;-0.001728899;-7.24382E-05;-5.53628E-07;7.00305E-05;0.000322459;0.000259569;0.000286156;0.000232223;0.000212021;4.51528E-05;0.00013559;3.33112E-05;-0.033689631;-0.031565766;-0.031892195;-0.03276178;-0.03275541;-6.53551E-05;-0.000232813;-0.032689829;-0.032722718;0.00086723;-0.03276561;-0.032671573;-0.032689074;-0.032732328;-5.21141E-05;6.26527E-07;-1.42125E-05;-3.5518E-06;0.033856896;0.033882103;0.033858179;0.033980833;0.033246113;0.033871031;0.035222373;0.000495793;0.001467736
41;ldhp*milieu;;;;7;-0.000584025;-9.24836E-06;-2.16936E-07;9.56063E-06;3.49244E-05;1.33274E-05;1.47324E-05;-1.87132E-05;2.31072E-05;-5.81237E-07;-1.83417E-05;1.49758E-05;4.00482E-05;9.73149E-06;2.41442E-05;2.89728E-05;3.67021E-05;-4.87684E-05;-5.24748E-05;3.79865E-05;3.58264E-05;0.000105418;2.56923E-05;1.62987E-05;3.65473E-05;2.7857E-05;3.23999E-06;8.08518E-08;4.88445E-07;-1.03303E-06;0.000480564;0.000482169;0.000484598;0.000490132;0.000485358;0.000483686;0.000495793;0.001293543;0.000468318
42;ldhp*milieu;;;;8;-0.001084929;-2.75641E-05;-6.96666E-08;2.32186E-05;0.00012269;6.99769E-06;-7.04617E-05;-2.77846E-05;9.43613E-08;-1.57401E-05;2.07048E-05;-1.51294E-05;-0.000562782;-0.000531755;-0.000564768;-0.000559378;-0.000547411;-0.000643777;-0.000675318;-0.000570355;-0.000563828;0.000527058;-0.000591077;-0.000471867;-0.000548053;-0.000570045;-1.37421E-05;2.57375E-07;-4.36205E-06;-1.5815E-06;0.001461301;0.001461651;0.001456124;0.001463378;0.001447545;0.001454615;0.001467736;0.000468318;0.001704571
