estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-0.666805323;ldhp;;;;;0.412041465;346.4579436;-1.61829665;0.106508659
1.643317305;ldhp2;;;;;0.196703983;390.7273225;8.354265548;1.2E-15
0.031370269;ldhp*st;;;;;0.004297625;371.1664879;7.299443309;1.7716E-12
-0.695968669;ldhp*rdhp;;;;;0.188627905;383.0873081;-3.689637908;0.000257086
0.135521542;ldhp*Tmoy;;;;;0.046580999;114.7817733;2.909373849;0.004350009
0.262963032;ldhp*vp;;;FO1;;0.236230819;120.5712106;1.113161412;0.267853452
0.21499393;ldhp*vp;;;MJ2;;0.190054104;119.9234365;1.131224873;0.26021757
0.382979472;ldhp*vp;;;MS1;;0.194038235;123.3406821;1.973731995;0.050647638
0.474093253;ldhp*vp;;;MS2;;0.156734734;107.2594307;3.024812951;0.003113788
