row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8
1;ldhp;;;;;0.0916934408499200000000000;-0.0428496899615921000000000;0.0003102935920663000000000;0.0314047214020026000000000;-0.0084151541666083000000000;-0.0040535340726882000000000;-0.0081284535135654000000000;-0.0075752751265492000000000
2;ldhp2;;;;;-0.0428496899615921000000000;0.0239568728866973000000000;-0.0002596602498586000000000;-0.0203746864649967000000000;0.0005466604776951000000000;-0.0018472758834830000000000;0.0009367735890319000000000;0.0002698293102974000000000
3;ldhp*st;;;;;0.0003102935920663000000000;-0.0002596602498586000000000;0.0000093375309764000000000;0.0001967307799512000000000;0.0000390705835675000000000;0.0000832123817395000000000;0.0000062049703639000000000;0.0000385484395101000000000
4;ldhp*rdhp;;;;;0.0314047214020026000000000;-0.0203746864649967000000000;0.0001967307799512000000000;0.0230073034925831000000000;-0.0000436514076663000000000;0.0014169492200563000000000;-0.0005764466595407000000000;-0.0000558891097029000000000
5;ldhp*vp;;;FO1;;-0.0084151541666083000000000;0.0005466604776951000000000;0.0000390705835675000000000;-0.0000436514076663000000000;0.0246195994433438000000000;0.0061868855541200000000000;0.0059485328744897000000000;0.0061114002534414000000000
6;ldhp*vp;;;MJ2;;-0.0040535340726882000000000;-0.0018472758834830000000000;0.0000832123817395000000000;0.0014169492200563000000000;0.0061868855541200000000000;0.0138991547395526000000000;0.0058750355636749000000000;0.0061704057431575000000000
7;ldhp*vp;;;MS1;;-0.0081284535135654000000000;0.0009367735890319000000000;0.0000062049703639000000000;-0.0005764466595407000000000;0.0059485328744897000000000;0.0058750355636749000000000;0.0117049282387086000000000;0.0059157840481188000000000
8;ldhp*vp;;;MS2;;-0.0075752751265492000000000;0.0002698293102974000000000;0.0000385484395101000000000;-0.0000558891097029000000000;0.0061114002534414000000000;0.0061704057431575000000000;0.0059157840481188000000000;0.0110119647406650000000000
