a1;b1;b2;b3;b4;b0
5.53E-06;6.06E-07;-1.78E-07;1.09E-07;6.82E-07;-1.31E-06
6.06E-07;0.098137281;0.000636878;0.065061999;0.043597136;-0.173548644
-1.78E-07;0.000636878;0.003155376;0.004989311;-0.002499662;-0.005977906
1.09E-07;0.065061999;0.004989311;0.049910751;0.024454642;-0.122243189
6.82E-07;0.043597136;-0.002499662;0.024454642;0.023372091;-0.072431359
-1.31E-06;-0.173548644;-0.005977906;-0.122243189;-0.072431359;0.314578013
