row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col38;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col49;Col50;Col51
1;ldhp;;;;;0.0051952932868833000000000;-0.0004955420971085000000000;0.0000014322759650000000000;0.0003707008944080000000000;-0.0005892748468883000000000;-0.0003593537093935000000000;-0.0004356287931490000000000;-0.0003045898133598000000000;-0.0004252694263740000000000;-0.0003280272661753000000000;-0.0004074005526468000000000;-0.0002461218827871000000000;-0.0004760806249646000000000;-0.0003718963682599000000000;0.0000315884440727000000000;0.0000580742707273000000000;-0.0000206335395550000000000;-0.0004573618629691000000000;0.0000289719714771000000000;-0.0000304968690078000000000;0.0000295333591371000000000;-0.0000379045280314000000000;-0.0000490809149470000000000;0.0000238936239122000000000;0.0000222930952270000000000;-0.0010714769788869000000000;-0.0001818221469537000000000;-0.0019363305526428000000000;-0.0000449816540275000000000;-0.0000702208785420000000000;-0.0001156894428072000000000;-0.0014670121339428000000000;-0.0000897153117132000000000;-0.0000527974063521000000000;0.0000826421849181000000000;-0.0000000224188685000000000;-0.0026577003371468000000000;-0.0026635019617881000000000;-0.0026388980520618000000000;-0.0026728311629990000000000;-0.0026161371707017000000000;-0.0026050455813365000000000;-0.0026661210030415000000000;-0.0011832824322512000000000;-0.0016380037391693000000000;-0.0000010964632424000000000;-0.0000054802004428000000000;0.0000147552970851000000000
2;ldhp2;;;;;-0.0004955420971085000000000;0.0002569621996725000000000;-0.0000015581354967000000000;-0.0002169636950693000000000;-0.0000025799650278000000000;0.0000048514624264000000000;0.0000067051938754000000000;-0.0000010831624801000000000;-0.0000057711312179000000000;-0.0000044165868810000000000;-0.0000115100037888000000000;0.0000030050789168000000000;-0.0000023860494134000000000;-0.0000009407125630000000000;-0.0000353412886211000000000;-0.0000441321092114000000000;-0.0000194728687515000000000;-0.0000235826859272000000000;-0.0000333554882882000000000;-0.0000184872718232000000000;-0.0000271291792573000000000;-0.0000142264510920000000000;0.0000039419447457000000000;-0.0000123205738180000000000;-0.0000547899469943000000000;-0.0000089023585542000000000;0.0000198659210261000000000;0.0000111894371913000000000;-0.0000178877616770000000000;-0.0000173296162582000000000;0.0000124326961765000000000;0.0000033432626097000000000;0.0000353389038783000000000;0.0000070849812660000000000;-0.0000330586197939000000000;-0.0000000106348916000000000;-0.0000035122769059000000000;-0.0000050223342705000000000;-0.0000093884149666000000000;-0.0000127337552816000000000;-0.0000114240583249000000000;-0.0000137885851322000000000;-0.0000197800847919000000000;0.0000002035573515000000000;-0.0000063877809554000000000;0.0000000399100502000000000;0.0000009797512337000000000;-0.0000142464616486000000000
3;ldhp*st;;;;;0.0000014322759650000000000;-0.0000015581354967000000000;0.0000000860495903000000000;0.0000012439897022000000000;0.0000000239095190000000000;0.0000000151056811000000000;0.0000000534093147000000000;-0.0000000000119164000000000;0.0000000516737992000000000;-0.0000001909568720000000000;0.0000001868774135000000000;-0.0000002663523330000000000;0.0000001318520679000000000;-0.0000001762147125000000000;0.0000001749933255000000000;0.0000002460417497000000000;0.0000000057399227000000000;0.0000001465392874000000000;0.0000001113904831000000000;0.0000000554000364000000000;0.0000002709845571000000000;-0.0000000178349174000000000;0.0000000831658397000000000;0.0000000580805654000000000;0.0000002622894251000000000;-0.0000007280285309000000000;0.0000003903761745000000000;0.0000004741967842000000000;-0.0000002604678805000000000;-0.0000004857207925000000000;0.0000001102613939000000000;0.0000003400795233000000000;0.0000006513077483000000000;-0.0000001697562783000000000;-0.0000004274280851000000000;0.0000000000037361000000000;0.0000000833218232000000000;-0.0000000434091117000000000;-0.0000000714799404000000000;-0.0000001994418140000000000;0.0000000348780485000000000;0.0000000359776516000000000;-0.0000000084415999000000000;-0.0000001290803655000000000;0.0000000743608245000000000;-0.0000000001917059000000000;0.0000003582987477000000000;0.0000002720050333000000000
4;ldhp*rdhp;;;;;0.0003707008944080000000000;-0.0002169636950693000000000;0.0000012439897022000000000;0.0002670611818919000000000;0.0000029595098099000000000;-0.0000106470292990000000000;-0.0000056599147338000000000;0.0000006763752185000000000;0.0000099647059320000000000;0.0000042885582380000000000;0.0000137207102928000000000;-0.0000007778958095000000000;0.0000035230786181000000000;-0.0000001789728702000000000;0.0000405408061551000000000;0.0000498368113696000000000;0.0000318252303574000000000;0.0000250899182733000000000;0.0000351440220999000000000;0.0000230092231722000000000;0.0000263050833041000000000;0.0000052816745435000000000;-0.0000017612814162000000000;0.0000137199460079000000000;0.0000450312234267000000000;0.0000243861646683000000000;-0.0000175441605790000000000;-0.0000071503378497000000000;0.0000354167764094000000000;0.0000313524444716000000000;-0.0000105948490286000000000;-0.0000035540563659000000000;-0.0000291446715911000000000;0.0000005350051448000000000;0.0000448264024386000000000;0.0000000090185215000000000;-0.0000024591813708000000000;0.0000019482146016000000000;0.0000044286504746000000000;0.0000057464664141000000000;0.0000067561339103000000000;0.0000071302305144000000000;0.0000117836431425000000000;-0.0000024574387270000000000;0.0000037774594245000000000;-0.0000000616099681000000000;0.0000005015582428000000000;0.0000134421321748000000000
5;ldhp*sdom;;1;;;-0.0005892748468883000000000;-0.0000025799650278000000000;0.0000000239095190000000000;0.0000029595098099000000000;0.0023387184960957000000000;0.0005767412134760000000000;0.0005823879643133000000000;0.0005389787987856000000000;0.0005536154765684000000000;0.0005034809934370000000000;0.0005141478779405000000000;0.0004706953548252000000000;0.0004662162575555000000000;0.0004540836159055000000000;-0.0001572106306373000000000;-0.0000351900467461000000000;-0.0000774756125032000000000;-0.0000348421179216000000000;-0.0000615039075307000000000;-0.0000603681915683000000000;0.0000046337208875000000000;-0.0000657900370707000000000;0.0000116957639351000000000;-0.0000660788459648000000000;0.0000571438296187000000000;0.0000811277698728000000000;0.0000524798924403000000000;0.0001581195326064000000000;-0.0001213313001051000000000;-0.0000241030101755000000000;0.0000329858054436000000000;0.0001206734553344000000000;-0.0000142484020222000000000;-0.0000529191775981000000000;-0.0001183455402593000000000;0.0000001585666811000000000;0.0001072215515782000000000;0.0000899533049022000000000;0.0001173506686156000000000;0.0001260893651013000000000;0.0000824149508510000000000;0.0001150880722113000000000;0.0001505665713401000000000;0.0000199341598760000000000;0.0000149274566592000000000;-0.0000000728815658000000000;-0.0000065789691535000000000;0.0000045606107475000000000
6;ldhp*sdom;;2EST;;;-0.0003593537093935000000000;0.0000048514624264000000000;0.0000000151056811000000000;-0.0000106470292990000000000;0.0005767412134760000000000;0.0010037452864067000000000;0.0005662198470290000000000;0.0005666195509321000000000;0.0005407179113224000000000;0.0005446306442806000000000;0.0005120638555089000000000;0.0005247185346134000000000;0.0004686580771173000000000;0.0004747428173038000000000;-0.0000339666014752000000000;-0.0000234192589004000000000;-0.0000478674383367000000000;-0.0000034748160196000000000;-0.0000387123150555000000000;-0.0000377514521379000000000;0.0000014333738518000000000;-0.0000970970095221000000000;0.0000051016504542000000000;-0.0000279751936993000000000;0.0000539127923927000000000;-0.0000164079176471000000000;0.0000509704237879000000000;0.0001148584008801000000000;-0.0000371314071500000000000;-0.0000232612125815000000000;0.0000312341579278000000000;0.0000636184192813000000000;-0.0000166904814021000000000;-0.0000900823433497000000000;-0.0001054653819595000000000;0.0000001894245238000000000;0.0000714806882768000000000;0.0000636062467046000000000;0.0000741372095129000000000;0.0000744186046835000000000;0.0000120296379031000000000;0.0000627655724764000000000;0.0000911294246478000000000;-0.0000612468067741000000000;0.0000329823687218000000000;-0.0000002923038880000000000;-0.0000030465160889000000000;0.0000043878791702000000000
7;ldhp*sdom;;2OUEST;;;-0.0004356287931490000000000;0.0000067051938754000000000;0.0000000534093147000000000;-0.0000056599147338000000000;0.0005823879643133000000000;0.0005662198470290000000000;0.0013373399384327000000000;0.0005436177065556000000000;0.0005513434138625000000000;0.0005088306841189000000000;0.0005093720876327000000000;0.0004848399938078000000000;0.0004645592432235000000000;0.0004585396250046000000000;-0.0001786712803612000000000;-0.0000506952363389000000000;-0.0001716298147959000000000;-0.0001733847691099000000000;-0.0000620154785852000000000;-0.0000531817399444000000000;-0.0000009719853781000000000;-0.0000595074551315000000000;0.0000056026407080000000000;-0.0000795987554402000000000;0.0000366450787236000000000;-0.0000490941232047000000000;0.0000474100008076000000000;0.0000281882376536000000000;-0.0000826647894016000000000;-0.0000494280361230000000000;0.0000284854852517000000000;0.0000067441159816000000000;-0.0000053717854334000000000;-0.0000366229197951000000000;-0.0001122941409359000000000;0.0000001278712842000000000;-0.0000080901270400000000000;-0.0000006390483666000000000;0.0000078957060848000000000;0.0000174151929567000000000;0.0000125868672416000000000;0.0000123290405227000000000;0.0000377646670014000000000;0.0000335812413494000000000;0.0000273157921031000000000;-0.0000001229144758000000000;-0.0000100894280457000000000;0.0000039408050652000000000
8;ldhp*sdom;;3EST;;;-0.0003045898133598000000000;-0.0000010831624801000000000;-0.0000000000119164000000000;0.0000006763752185000000000;0.0005389787987856000000000;0.0005666195509321000000000;0.0005436177065556000000000;0.0006472838806138000000000;0.0005335972302253000000000;0.0005246743447834000000000;0.0005138166875374000000000;0.0005270347550507000000000;0.0004692927318341000000000;0.0004763462377312000000000;-0.0000582818250899000000000;-0.0000478036432037000000000;-0.0000397875578510000000000;-0.0000206776722793000000000;-0.0000653114308974000000000;-0.0000441296007641000000000;0.0000024649587819000000000;-0.0000387285926430000000000;0.0000000092036784000000000;-0.0000613969272530000000000;0.0000034154812947000000000;-0.0000254633983233000000000;0.0000428970508015000000000;0.0000565191858508000000000;-0.0000416813426159000000000;-0.0000292006673943000000000;0.0000253187609069000000000;0.0000218488752789000000000;0.0000086103473955000000000;-0.0000735284816147000000000;-0.0000334373694449000000000;0.0000000583279370000000000;0.0000217535072748000000000;0.0000184965125594000000000;0.0000234944146407000000000;0.0000256167071110000000000;0.0000300480162232000000000;0.0000262898196928000000000;0.0000494346399766000000000;0.0000194906528375000000000;0.0000162850062088000000000;-0.0000002355436750000000000;-0.0000026254782785000000000;0.0000035343418864000000000
9;ldhp*sdom;;3OUEST;;;-0.0004252694263740000000000;-0.0000057711312179000000000;0.0000000516737992000000000;0.0000099647059320000000000;0.0005536154765684000000000;0.0005407179113224000000000;0.0005513434138625000000000;0.0005335972302253000000000;0.0006309269926779000000000;0.0004999879348076000000000;0.0005089864244939000000000;0.0004866772099524000000000;0.0004666293028449000000000;0.0004608629554351000000000;-0.0000742619736951000000000;-0.0000562725825771000000000;-0.0001108412195760000000000;-0.0000441269517796000000000;-0.0000550475600215000000000;-0.0000490045097533000000000;0.0000008226563129000000000;-0.0000332474323374000000000;0.0000030536065883000000000;-0.0000246877683257000000000;0.0000167862954674000000000;-0.0000241708538318000000000;0.0000391126249885000000000;0.0000500277019175000000000;-0.0000905448146016000000000;-0.0000323946041153000000000;0.0000277559077295000000000;0.0000191522168462000000000;0.0000031824717399000000000;-0.0000354385050508000000000;-0.0000826325936077000000000;0.0000000719417663000000000;0.0000098711538392000000000;-0.0000020734506332000000000;0.0000121182940783000000000;0.0000242393487115000000000;0.0000150874839654000000000;0.0000162471974755000000000;0.0000524859373966000000000;0.0000250499037483000000000;0.0000090063084548000000000;-0.0000000963159529000000000;-0.0000031327490378000000000;0.0000027303119422000000000
10;ldhp*sdom;;4EST;;;-0.0003280272661753000000000;-0.0000044165868810000000000;-0.0000001909568720000000000;0.0000042885582380000000000;0.0005034809934370000000000;0.0005446306442806000000000;0.0005088306841189000000000;0.0005246743447834000000000;0.0004999879348076000000000;0.0006202075032523000000000;0.0004899056631190000000000;0.0005383888798122000000000;0.0004816504318065000000000;0.0004726568667336000000000;0.0000112163170856000000000;-0.0000051337489573000000000;0.0000039406986920000000000;0.0000232402268829000000000;0.0000085201015329000000000;0.0000065491212174000000000;-0.0000563055148061000000000;-0.0000690321177109000000000;-0.0000576767114696000000000;-0.0000151713069151000000000;0.0000209047979151000000000;-0.0000199035863463000000000;0.0000556510689771000000000;0.0000830368618394000000000;0.0000013565184660000000000;-0.0000181063472068000000000;0.0000334727734158000000000;0.0000492280979612000000000;0.0000034847950609000000000;-0.0000099817646014000000000;0.0000165109392038000000000;0.0000000763525457000000000;0.0000347005698852000000000;0.0000319343830682000000000;0.0000319468327541000000000;0.0000098750199651000000000;0.0000398070458187000000000;0.0000371182485958000000000;0.0000458792775032000000000;0.0000279912314908000000000;0.0000165867609430000000000;-0.0000002234226355000000000;-0.0000020991709070000000000;0.0000019305445272000000000
