Effect;NumDF;DenDF;FValue;ProbF
ldhp;1;8083;782.42;<.0001
ldhp2;1;32E3;11206.5;<.0001
ldhp*st;1;33E3;2607.02;<.0001
ldhp*rdhp;1;34E3;726.05;<.0001
ldhp*sdom;8;5728;54.13;<.0001
ldhp*vp;14;5689;14.54;<.0001
ldhp*Tmoy;1;5243;157.49;<.0001
ldhp*Ptot;1;5504;57.26;<.0001
ldhp*pert;2;26E3;16.64;<.0001
ldhp*milieu;9;4965;4.98;<.0001
