"sp","dispersion"
1,1.09868069097711
2,0.875123159051747
3,1.64849160625507
4,0.684428250939624
5,1.55679167911358
6,1.16017731356207
7,1.76662332337412
8,1.52209395913933
9,0.895898609909615
10,1.9956127439294
11,0.54504472038598
12,1.50786770261951
13,0.384731518504624
14,1.71962649196171
15,1.11898128376845
16,1.80965728185522
17,1.26299610413802
18,0.418673069237667
19,0.831429556985967
20,1.18639738977056
21,0.835421410729373
22,0.967033065637029
23,1.46118795940549
24,0.845470367811796
25,1.07325196546195
26,0.992445078006157
27,1.15456290454832
28,2.36406096385364
29,0.993286366993149
30,1.32329257471809
